,,15,22,29,36,43,50,57
Area,Label,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,England,,,,,,,
E12000009,South West,,,,,,,
E01015023,Plymouth 003A,,,,,,,
E01015024,Plymouth 004A,,,,,,,
E01015025,Plymouth 001A,,,,,,,
E01015026,Plymouth 003B,,,,,,,
E01015027,Plymouth 002A,,,,,,,
E01015028,Plymouth 003C,,,,,,,
E01015029,Plymouth 008A,,,,,,,
E01015030,Plymouth 007A,,,,,,,
E01015031,Plymouth 023A,,,,,,,
E01015032,Plymouth 023B,,,,,,,
E01015033,Plymouth 016A,,,,,,,
E01015034,Plymouth 016B,,,,,,,
E01015035,Plymouth 012A,,,,,,,
E01015036,Plymouth 016C,,,,,,,
E01015037,Plymouth 012B,,,,,,,
E01015038,Plymouth 016D,,,,,,,
E01015039,Plymouth 014A,,,,,,,
E01015040,Plymouth 014B,,,,,,,
E01015041,Plymouth 014C,,,,,,,
E01015042,Plymouth 020A,,,,,,,
E01015043,Plymouth 026A,,,,,,,
E01015044,Plymouth 020B,,,,,,,
E01015045,Plymouth 026B,,,,,,,
E01015046,Plymouth 026C,,,,,,,
E01015047,Plymouth 026D,,,,,,,
E01015048,Plymouth 026E,,,,,,,
E01015049,Plymouth 023C,,,,,,,
E01015050,Plymouth 023D,,,,,,,
E01015051,Plymouth 023E,,,,,,,
E01015052,Plymouth 028A,,,,,,,
E01015053,Plymouth 027A,,,,,,,
E01015054,Plymouth 027B,,,,,,,
E01015055,Plymouth 021A,,,,,,,
E01015056,Plymouth 021B,,,,,,,
E01015057,Plymouth 021C,,,,,,,
E01015058,Plymouth 012C,,,,,,,
E01015059,Plymouth 021D,,,,,,,
E01015060,Plymouth 021E,,,,,,,
E01015061,Plymouth 025A,,,,,,,
E01015062,Plymouth 025B,,,,,,,
E01015063,Plymouth 010A,,,,,,,
E01015064,Plymouth 008B,,,,,,,
E01015065,Plymouth 008C,,,,,,,
E01015066,Plymouth 012D,,,,,,,
E01015067,Plymouth 012E,,,,,,,
E01015068,Plymouth 010B,,,,,,,
E01015069,Plymouth 010C,,,,,,,
E01015070,Plymouth 007B,,,,,,,
E01015071,Plymouth 008D,,,,,,,
E01015072,Plymouth 013A,,,,,,,
E01015073,Plymouth 013B,,,,,,,
E01015074,Plymouth 011A,,,,,,,
E01015075,Plymouth 014D,,,,,,,
E01015076,Plymouth 009A,,,,,,,
E01015077,Plymouth 011B,,,,,,,
E01015078,Plymouth 013C,,,,,,,
E01015079,Plymouth 011C,,,,,,,
E01015080,Plymouth 013D,,,,,,,
E01015081,Plymouth 007C,,,,,,,
E01015082,Plymouth 004B,,,,,,,
E01015083,Plymouth 004C,,,,,,,
E01015084,Plymouth 004D,,,,,,,
E01015085,Plymouth 006A,,,,,,,
E01015086,Plymouth 007D,,,,,,,
E01015087,Plymouth 006B,,,,,,,
E01015088,Plymouth 006C,,,,,,,
E01015089,Plymouth 007E,,,,,,,
E01015090,Plymouth 005A,,,,,,,
E01015091,Plymouth 005B,,,,,,,
E01015092,Plymouth 005C,,,,,,,
E01015093,Plymouth 005D,,,,,,,
E01015094,Plymouth 005E,,,,,,,
E01015095,Plymouth 010D,,,,,,,
E01015096,Plymouth 010E,,,,,,,
E01015097,Plymouth 001B,,,,,,,
E01015098,Plymouth 017A,,,,,,,
E01015099,Plymouth 017B,,,,,,,
E01015100,Plymouth 017C,,,,,,,
E01015101,Plymouth 016E,,,,,,,
E01015102,Plymouth 011D,,,,,,,
E01015103,Plymouth 017D,,,,,,,
E01015104,Plymouth 011E,,,,,,,
E01015105,Plymouth 017E,,,,,,,
E01015106,Plymouth 013E,,,,,,,
E01015107,Plymouth 018A,,,,,,,
E01015108,Plymouth 022A,,,,,,,
E01015109,Plymouth 022B,,,,,,,
E01015110,Plymouth 018B,,,,,,,
E01015111,Plymouth 018C,,,,,,,
E01015112,Plymouth 019A,,,,,,,
E01015113,Plymouth 019B,,,,,,,
E01015114,Plymouth 019C,,,,,,,
E01015115,Plymouth 022C,,,,,,,
E01015116,Plymouth 022D,,,,,,,
E01015117,Plymouth 022E,,,,,,,
E01015118,Plymouth 019D,,,,,,,
E01015119,Plymouth 018D,,,,,,,
E01015120,Plymouth 015A,,,,,,,
E01015121,Plymouth 015B,,,,,,,
E01015122,Plymouth 019E,,,,,,,
E01015123,Plymouth 015C,,,,,,,
E01015124,Plymouth 015D,,,,,,,
E01015125,Plymouth 015E,,,,,,,
E01015126,Plymouth 030A,,,,,,,
E01015127,Plymouth 030B,,,,,,,
E01015128,Plymouth 032A,,,,,,,
E01015129,Plymouth 032B,,,,,,,
E01015130,Plymouth 032C,,,,,,,
E01015131,Plymouth 030C,,,,,,,
E01015132,Plymouth 030D,,,,,,,
E01015133,Plymouth 030E,,,,,,,
E01015134,Plymouth 032D,,,,,,,
E01015135,Plymouth 031A,,,,,,,
E01015136,Plymouth 031B,,,,,,,
E01015137,Plymouth 031C,,,,,,,
E01015138,Plymouth 031D,,,,,,,
E01015139,Plymouth 031E,,,,,,,
E01015140,Plymouth 032E,,,,,,,
E01015141,Plymouth 031F,,,,,,,
E01015142,Plymouth 009B,,,,,,,
E01015143,Plymouth 009C,,,,,,,
E01015144,Plymouth 009D,,,,,,,
E01015145,Plymouth 014E,,,,,,,
E01015146,Plymouth 009E,,,,,,,
E01015147,Plymouth 006D,,,,,,,
E01015148,Plymouth 006E,,,,,,,
E01015149,Plymouth 009F,,,,,,,
E01015150,Plymouth 009G,,,,,,,
E01015151,Plymouth 029A,,,,,,,
E01015152,Plymouth 027C,,,,,,,
E01015153,Plymouth 029B,,,,,,,
E01015155,Plymouth 029C,,,,,,,
E01015156,Plymouth 027E,,,,,,,
E01015157,Plymouth 029D,,,,,,,
E01015158,Plymouth 029E,,,,,,,
E01015159,Plymouth 002B,,,,,,,
E01015160,Plymouth 001C,,,,,,,
E01015161,Plymouth 002C,,,,,,,
E01015162,Plymouth 002D,,,,,,,
E01015163,Plymouth 003D,,,,,,,
E01015164,Plymouth 001D,,,,,,,
E01015165,Plymouth 003E,,,,,,,
E01015166,Plymouth 002E,,,,,,,
E01015167,Plymouth 020C,,,,,,,
E01015168,Plymouth 020D,,,,,,,
E01015169,Plymouth 024A,,,,,,,
E01015170,Plymouth 024B,,,,,,,
E01015171,Plymouth 020E,,,,,,,
E01015172,Plymouth 029F,,,,,,,
E01015173,Plymouth 024C,,,,,,,
E01015174,Plymouth 024D,,,,,,,
E01015175,Plymouth 025C,,,,,,,
E01015176,Plymouth 021F,,,,,,,
E01015177,Plymouth 025D,,,,,,,
E01015178,Plymouth 025E,,,,,,,
E01015179,Plymouth 028B,,,,,,,
E01015180,Plymouth 028C,,,,,,,
E01015181,Plymouth 028D,,,,,,,
E01015182,Plymouth 028E,,,,,,,
E01015183,Torbay 017A,,,,,,,
E01015184,Torbay 017B,,,,,,,
E01015185,Torbay 017C,,,,,,,
E01015186,Torbay 017D,,,,,,,
E01015187,Torbay 017E,,,,,,,
E01015188,Torbay 017F,,,,,,,
E01015189,Torbay 017G,,,,,,,
E01015190,Torbay 013A,,,,,,,
E01015191,Torbay 013B,,,,,,,
E01015192,Torbay 013C,,,,,,,
E01015193,Torbay 013D,,,,,,,
E01015194,Torbay 013E,,,,,,,
E01015195,Torbay 013F,,,,,,,
E01015196,Torbay 013G,,,,,,,
E01015197,Torbay 016A,,,,,,,
E01015198,Torbay 016B,,,,,,,
E01015199,Torbay 016C,,,,,,,
E01015200,Torbay 016D,,,,,,,
E01015201,Torbay 016E,,,,,,,
E01015202,Torbay 012A,,,,,,,
E01015203,Torbay 012B,,,,,,,
E01015204,Torbay 012C,,,,,,,
E01015205,Torbay 012D,,,,,,,
E01015206,Torbay 012E,,,,,,,
E01015207,Torbay 009A,,,,,,,
E01015208,Torbay 019F,,,,,,,
E01015209,Torbay 019A,,,,,,,
E01015210,Torbay 007B,,,,,,,
E01015211,Torbay 009C,,,,,,,
E01015212,Torbay 007C,,,,,,,
E01015213,Torbay 007D,,,,,,,
E01015214,Torbay 006A,,,,,,,
E01015215,Torbay 006B,,,,,,,
E01015216,Torbay 006C,,,,,,,
E01015217,Torbay 008A,,,,,,,
E01015218,Torbay 006D,,,,,,,
E01015219,Torbay 015A,,,,,,,
E01015220,Torbay 015B,,,,,,,
E01015221,Torbay 015C,,,,,,,
E01015222,Torbay 015D,,,,,,,
E01015223,Torbay 015E,,,,,,,
E01015224,Torbay 011A,,,,,,,
E01015225,Torbay 011B,,,,,,,
E01015226,Torbay 011C,,,,,,,
E01015227,Torbay 011D,,,,,,,
E01015228,Torbay 011E,,,,,,,
E01015229,Torbay 014A,,,,,,,
E01015230,Torbay 011F,,,,,,,
E01015231,Torbay 014B,,,,,,,
E01015232,Torbay 014C,,,,,,,
E01015233,Torbay 014D,,,,,,,
E01015234,Torbay 014E,,,,,,,
E01015235,Torbay 014F,,,,,,,
E01015236,Torbay 002A,,,,,,,
E01015237,Torbay 002B,,,,,,,
E01015238,Torbay 002C,,,,,,,
E01015239,Torbay 002D,,,,,,,
E01015240,Torbay 005A,,,,,,,
E01015241,Torbay 005B,,,,,,,
E01015242,Torbay 005C,,,,,,,
E01015243,Torbay 005D,,,,,,,
E01015244,Torbay 018A,,,,,,,
E01015245,Torbay 018B,,,,,,,
E01015246,Torbay 018C,,,,,,,
E01015247,Torbay 018D,,,,,,,
