Area,0 to 15,16 to 64,65 to 84,85 and over,Total
E92000001,10637971,34950948,8678455,1352056,55619430
E12000009,977522,3370820,1040367,170607,5559316
E01015023,369,1094,223,57,1743
E01015024,197,965,252,17,1431
E01015025,225,850,496,88,1659
E01015026,354,1018,185,31,1588
E01015027,293,1037,302,37,1669
E01015028,331,872,184,23,1410
E01015029,473,1106,225,25,1829
E01015030,371,1040,246,41,1698
E01015031,193,1020,171,71,1455
E01015032,165,1679,119,22,1985
E01015033,272,944,295,54,1565
E01015034,232,799,303,99,1433
E01015035,246,931,279,29,1485
E01015036,288,850,319,91,1548
E01015037,272,879,309,28,1488
E01015038,318,1101,293,42,1754
E01015039,250,1437,125,14,1826
E01015040,387,975,181,15,1558
E01015041,300,1036,178,12,1526
E01015042,300,998,163,5,1466
E01015043,358,1025,118,14,1515
E01015044,196,1028,187,32,1443
E01015045,328,1076,125,33,1562
E01015046,447,1205,255,20,1927
E01015047,481,1183,240,13,1917
E01015048,499,1461,182,12,2154
E01015049,119,1338,106,17,1580
E01015050,76,1780,105,30,1991
E01015051,81,1566,132,18,1797
E01015052,190,1657,106,22,1975
E01015053,113,1207,91,8,1419
E01015054,72,1740,79,14,1905
E01015055,277,914,207,32,1430
E01015056,249,1008,294,53,1604
E01015057,389,977,188,52,1606
E01015058,388,986,171,12,1557
E01015059,319,1136,179,15,1649
E01015060,316,992,255,14,1577
E01015061,297,1078,131,22,1528
E01015062,207,1757,119,20,2103
E01015063,321,943,228,34,1526
E01015064,213,880,441,81,1615
E01015065,289,706,321,51,1367
E01015066,219,826,297,24,1366
E01015067,188,783,396,74,1441
E01015068,326,959,310,40,1635
E01015069,339,935,221,28,1523
E01015070,539,1688,328,38,2593
E01015071,298,897,310,45,1550
E01015072,339,1026,200,23,1588
E01015073,282,967,228,30,1507
E01015074,322,907,279,36,1544
E01015075,291,853,252,22,1418
E01015076,265,898,231,38,1432
E01015077,500,1449,311,82,2342
E01015078,392,1018,224,24,1658
E01015079,351,1016,331,45,1743
E01015080,232,578,88,6,904
E01015081,349,946,235,37,1567
E01015082,326,1082,301,40,1749
E01015083,261,926,263,43,1493
E01015084,249,838,290,44,1421
E01015085,281,910,330,52,1573
E01015086,230,742,283,38,1293
E01015087,416,1033,188,19,1656
E01015088,498,1001,138,16,1653
E01015089,293,998,352,69,1712
E01015090,225,791,273,30,1319
E01015091,201,843,379,38,1461
E01015092,333,1393,228,36,1990
E01015093,244,826,297,17,1384
E01015094,284,779,277,49,1389
E01015095,195,739,411,25,1370
E01015096,256,851,291,20,1418
E01015097,202,1039,680,86,2007
E01015098,369,1099,224,39,1731
E01015099,274,1029,175,20,1498
E01015100,266,1071,156,22,1515
E01015101,296,887,363,144,1690
E01015102,341,1171,238,35,1785
E01015103,283,1022,161,20,1486
E01015104,320,960,236,40,1556
E01015105,270,976,174,35,1455
E01015106,222,756,243,36,1257
E01015107,361,1001,154,10,1526
E01015108,463,1076,244,21,1804
E01015109,201,989,207,8,1405
E01015110,284,977,273,18,1552
E01015111,351,1091,161,17,1620
E01015112,317,926,256,45,1544
E01015113,274,889,331,48,1542
E01015114,256,845,281,45,1427
E01015115,197,761,325,117,1400
E01015116,274,866,309,36,1485
E01015117,241,904,274,16,1435
E01015118,310,916,300,56,1582
E01015119,372,1057,231,9,1669
E01015120,282,959,354,44,1639
E01015121,243,744,433,41,1461
E01015122,301,917,325,71,1614
E01015123,214,878,481,175,1748
E01015124,251,824,372,85,1532
