Area,0 to 15,16 to 64,65 to 84,85 and over,Total
E92000001,0.19126,0.62839,0.15603,0.02431,1
E12000009,0.17583,0.60634,0.18714,0.03069,1
E01015023,0.2117,0.62765,0.12794,0.0327,1
E01015024,0.13767,0.67435,0.1761,0.01188,1
E01015025,0.13562,0.51236,0.29898,0.05304,1
E01015026,0.22292,0.64106,0.1165,0.01952,1
E01015027,0.17555,0.62133,0.18095,0.02217,1
E01015028,0.23475,0.61844,0.1305,0.01631,1
E01015029,0.25861,0.6047,0.12302,0.01367,1
E01015030,0.21849,0.61249,0.14488,0.02415,1
E01015031,0.13265,0.70103,0.11753,0.0488,1
E01015032,0.08312,0.84584,0.05995,0.01108,1
E01015033,0.1738,0.60319,0.1885,0.0345,1
E01015034,0.1619,0.55757,0.21144,0.06909,1
E01015035,0.16566,0.62694,0.18788,0.01953,1
E01015036,0.18605,0.5491,0.20607,0.05879,1
E01015037,0.1828,0.59073,0.20766,0.01882,1
E01015038,0.1813,0.62771,0.16705,0.02395,1
E01015039,0.13691,0.78697,0.06846,0.00767,1
E01015040,0.2484,0.6258,0.11617,0.00963,1
E01015041,0.19659,0.6789,0.11664,0.00786,1
E01015042,0.20464,0.68076,0.11119,0.00341,1
E01015043,0.2363,0.67657,0.07789,0.00924,1
E01015044,0.13583,0.7124,0.12959,0.02218,1
E01015045,0.20999,0.68886,0.08003,0.02113,1
E01015046,0.23197,0.62532,0.13233,0.01038,1
E01015047,0.25091,0.61711,0.1252,0.00678,1
E01015048,0.23166,0.67827,0.08449,0.00557,1
E01015049,0.07532,0.84684,0.06709,0.01076,1
E01015050,0.03817,0.89402,0.05274,0.01507,1
E01015051,0.04508,0.87145,0.07346,0.01002,1
E01015052,0.0962,0.83899,0.05367,0.01114,1
E01015053,0.07963,0.8506,0.06413,0.00564,1
E01015054,0.0378,0.91339,0.04147,0.00735,1
E01015055,0.19371,0.63916,0.14476,0.02238,1
E01015056,0.15524,0.62843,0.18329,0.03304,1
E01015057,0.24222,0.60834,0.11706,0.03238,1
E01015058,0.2492,0.63327,0.10983,0.00771,1
E01015059,0.19345,0.6889,0.10855,0.0091,1
E01015060,0.20038,0.62904,0.1617,0.00888,1
E01015061,0.19437,0.7055,0.08573,0.0144,1
E01015062,0.09843,0.83547,0.05659,0.00951,1
E01015063,0.21035,0.61796,0.14941,0.02228,1
E01015064,0.13189,0.54489,0.27307,0.05015,1
E01015065,0.21141,0.51646,0.23482,0.03731,1
E01015066,0.16032,0.60469,0.21742,0.01757,1
E01015067,0.13046,0.54337,0.27481,0.05135,1
E01015068,0.19939,0.58654,0.1896,0.02446,1
E01015069,0.22259,0.61392,0.14511,0.01838,1
E01015070,0.20787,0.65098,0.12649,0.01465,1
E01015071,0.19226,0.57871,0.2,0.02903,1
E01015072,0.21348,0.6461,0.12594,0.01448,1
E01015073,0.18713,0.64167,0.15129,0.01991,1
E01015074,0.20855,0.58744,0.1807,0.02332,1
E01015075,0.20522,0.60155,0.17772,0.01551,1
E01015076,0.18506,0.62709,0.16131,0.02654,1
E01015077,0.21349,0.6187,0.13279,0.03501,1
E01015078,0.23643,0.61399,0.1351,0.01448,1
E01015079,0.20138,0.5829,0.1899,0.02582,1
E01015080,0.25664,0.63938,0.09735,0.00664,1
E01015081,0.22272,0.6037,0.14997,0.02361,1
E01015082,0.18639,0.61864,0.1721,0.02287,1
E01015083,0.17482,0.62023,0.17616,0.0288,1
E01015084,0.17523,0.58973,0.20408,0.03096,1
E01015085,0.17864,0.57851,0.20979,0.03306,1
E01015086,0.17788,0.57386,0.21887,0.02939,1
E01015087,0.25121,0.62379,0.11353,0.01147,1
E01015088,0.30127,0.60557,0.08348,0.00968,1
E01015089,0.17114,0.58294,0.20561,0.0403,1
E01015090,0.17058,0.5997,0.20697,0.02274,1
E01015091,0.13758,0.577,0.25941,0.02601,1
E01015092,0.16734,0.7,0.11457,0.01809,1
E01015093,0.1763,0.59682,0.2146,0.01228,1
E01015094,0.20446,0.56084,0.19942,0.03528,1
E01015095,0.14234,0.53942,0.3,0.01825,1
E01015096,0.18054,0.60014,0.20522,0.0141,1
E01015097,0.10065,0.51769,0.33881,0.04285,1
E01015098,0.21317,0.63489,0.1294,0.02253,1
E01015099,0.18291,0.68692,0.11682,0.01335,1
E01015100,0.17558,0.70693,0.10297,0.01452,1
E01015101,0.17515,0.52485,0.21479,0.08521,1
E01015102,0.19104,0.65602,0.13333,0.01961,1
E01015103,0.19044,0.68775,0.10834,0.01346,1
E01015104,0.20566,0.61697,0.15167,0.02571,1
E01015105,0.18557,0.67079,0.11959,0.02405,1
E01015106,0.17661,0.60143,0.19332,0.02864,1
E01015107,0.23657,0.65596,0.10092,0.00655,1
E01015108,0.25665,0.59645,0.13525,0.01164,1
E01015109,0.14306,0.70391,0.14733,0.00569,1
E01015110,0.18299,0.62951,0.1759,0.0116,1
E01015111,0.21667,0.67346,0.09938,0.01049,1
E01015112,0.20531,0.59974,0.1658,0.02915,1
E01015113,0.17769,0.57652,0.21466,0.03113,1
E01015114,0.1794,0.59215,0.19692,0.03153,1
E01015115,0.14071,0.54357,0.23214,0.08357,1
E01015116,0.18451,0.58316,0.20808,0.02424,1
E01015117,0.16794,0.62997,0.19094,0.01115,1
E01015118,0.19595,0.57901,0.18963,0.0354,1
E01015119,0.22289,0.63331,0.13841,0.00539,1
E01015120,0.17206,0.58511,0.21599,0.02685,1
E01015121,0.16632,0.50924,0.29637,0.02806,1
E01015122,0.18649,0.56815,0.20136,0.04399,1
E01015123,0.12243,0.50229,0.27517,0.10011,1
E01015124,0.16384,0.53786,0.24282,0.05548,1
E01015125,0.17193,0.56481,0.24043,0.02283,1
E01015126,0.15207,0.4535,0.30686,0.08758,1
E01015127,0.14633,0.54214,0.25961,0.05192,1
E01015128,0.13819,0.56385,0.26342,0.03455,1
E01015129,0.20827,0.65965,0.11248,0.01959,1
E01015130,0.21544,0.62267,0.15318,0.00872,1
E01015131,0.13745,0.47742,0.32205,0.06308,1
E01015132,0.16545,0.55083,0.23389,0.04983,1
E01015133,0.14792,0.53306,0.27267,0.04635,1
E01015134,0.18116,0.56311,0.19882,0.0569,1
E01015135,0.21794,0.6072,0.15003,0.02484,1
E01015136,0.16521,0.61767,0.18881,0.02832,1
E01015137,0.20072,0.60932,0.17025,0.01971,1
E01015138,0.17285,0.55616,0.25027,0.02072,1
E01015139,0.19014,0.54437,0.20775,0.05775,1
E01015140,0.18958,0.48333,0.27639,0.05069,1
E01015141,0.18037,0.51313,0.27626,0.03025,1
E01015142,0.19612,0.6237,0.16216,0.01802,1
E01015143,0.15402,0.6023,0.21839,0.02529,1
E01015144,0.23243,0.63205,0.1178,0.01773,1
E01015145,0.36926,0.59658,0.03042,0.00374,1
E01015146,0.27841,0.64864,0.07047,0.00248,1
E01015147,0.16801,0.56109,0.23714,0.03376,1
E01015148,0.19116,0.65085,0.14499,0.013,1
E01015149,0.22463,0.60555,0.14817,0.02165,1
E01015150,0.15448,0.60069,0.2131,0.03172,1
E01015151,0.14018,0.77809,0.07264,0.00908,1
E01015152,0.19127,0.68122,0.11721,0.0103,1
E01015153,0.19882,0.6561,0.12144,0.02364,1
E01015155,0.21331,0.69444,0.08491,0.00734,1
E01015156,0.05735,0.8157,0.12138,0.00557,1
E01015157,0.10625,0.71516,0.14344,0.03515,1
E01015158,0.09371,0.69644,0.17541,0.03444,1
E01015159,0.16402,0.56707,0.23586,0.03306,1
