,,4,5,6,7,8,9
Area,Label,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016
E92000001,England,80.47833333,80.685,80.88666667,81.06333333,81.18333333,81.25
E12000009,South West,81.335,81.515,81.68,81.82333333,81.91166667,81.96166667
E01015023,Plymouth 003A,80.63630251,80.22993057,79.71200602,80.91203305,82.25815343,78.91529994
E01015024,Plymouth 004A,77.92404955,80.91758125,81.14727243,80.35946799,81.09896384,82.42903595
E01015025,Plymouth 001A,80.25857715,80.68754325,80.59184747,80.57601037,80.60055414,82.46935544
E01015026,Plymouth 003B,79.55392571,80.10290627,80.86937232,80.79596976,79.88770674,79.72651037
E01015027,Plymouth 002A,84.39013518,84.07609978,82.6731958,82.77370658,82.23271111,81.72158951
E01015028,Plymouth 003C,77.6788998,78.21874121,79.34298887,78.33994568,78.85104018,78.36513357
E01015029,Plymouth 008A,81.16013816,82.28399967,83.33445664,84.44848723,85.29100271,86.01963737
E01015030,Plymouth 007A,74.28374456,74.79903058,74.66685541,77.12991501,79.91289177,80.14117672
E01015031,Plymouth 023A,77.77159004,77.88227851,78.72097845,77.68043675,75.36374971,75.84898333
E01015032,Plymouth 023B,79.40673771,79.1875759,80.16307092,81.32991504,82.15715568,80.77457049
E01015033,Plymouth 016A,82.94995627,83.05846823,84.21551608,85.53866134,86.80109712,105.3876662
E01015034,Plymouth 016B,83.12484348,82.65288778,81.29081467,80.65377562,79.51007588,79.29657848
E01015035,Plymouth 012A,85.83413162,88.85690581,88.76624311,86.39501205,87.08756952,86.30368357
E01015036,Plymouth 016C,78.55372619,80.10614311,83.60289326,86.37873063,87.31100276,85.53531846
E01015037,Plymouth 012B,82.9946512,83.22483406,82.1587941,82.72680705,81.54227168,82.46113802
E01015038,Plymouth 016D,83.97095265,83.43967697,82.21493724,82.26954688,82.62302645,83.86358593
E01015039,Plymouth 014A,79.90123313,78.59074231,79.73698391,82.04194932,85.29019301,83.86144631
E01015040,Plymouth 014B,77.02598821,78.40268523,78.63320008,78.23393005,80.58386196,81.2372533
E01015041,Plymouth 014C,78.74921128,79.52055106,82.16512016,81.28873984,81.94705749,83.42717852
E01015042,Plymouth 020A,76.75425854,77.78440298,78.80890879,79.86188897,81.01055528,81.69401409
