Area,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016
E92000001,,,,,,
E12000009,,,,,,
E01015023,1.072779909,1.135301263,1.043812069,2.362377462,2.532025832,1.354835913
E01015024,0.107221538,0.079734534,0.082888319,0.084396203,0.089245912,0.0715761
E01015025,0.097700305,0.095138152,0.094991323,0.103372679,0.098077562,0.087866582
E01015026,1.183652139,0.837606327,1.021127391,1.015095769,1.137990554,1.361938826
E01015027,3.087414559,1.876245323,2.204428459,1.834589853,0.967354649,0.814304225
E01015028,0.941730104,1.27398969,1.098480934,1.043719165,0.758087248,0.51548651
E01015029,0.428231449,0.538910014,0.935542512,1.333310541,1.230481254,1.641936162
E01015030,0.942022933,1.242206335,0.8376569,0.980183271,1.198233129,2.11083918
E01015031,0.087443335,0.078467657,0.08558298,0.076446989,0.083838198,0.081074155
E01015032,0.612844422,0.444865001,0.746996333,1.293966428,1.390169677,1.030912467
E01015033,1.25055259,1.383096812,1.780685296,2.045083936,4.829605702,45.9106487
E01015034,0.16388982,0.121527046,0.113886668,0.077413891,0.085069239,0.076574489
E01015035,3.875463809,8.613107146,8.233456865,3.843911508,6.683428186,6.21139161
E01015036,0.161233383,0.259118342,0.505535304,1.50537411,1.579144119,1.093939182
E01015037,2.254923686,1.187141251,1.043435038,1.139440274,0.655082439,0.711335744
E01015038,1.928869567,1.025746643,0.352368712,0.335632169,0.391639532,0.333001316
E01015039,0.276713864,0.237736556,0.534220018,1.418725307,5.607272263,2.774437434
E01015040,1.467174646,1.658231176,1.353126015,1.279033873,3.774456001,3.938215755
E01015041,3.388150044,3.195712092,4.891422934,2.040613096,1.436338796,1.19507263
E01015042,0.711780057,0.381357838,0.356925194,0.547855342,0.601817763,0.491861492
E01015043,1.383068072,1.37293448,3.012349653,0.480033836,0.996687952,1.933114791
E01015044,1.065406079,0.64411529,1.154343259,1.325551413,2.643881462,1.416719653
E01015045,0.082563606,0.097402149,0.096387478,0.089200147,0.086750249,0.090696103
E01015046,0.167809359,0.130871183,0.135123502,0.140797807,0.135164328,0.143213321
E01015047,0.084729437,3.787262782,4.119472306,4.804053121,0.858956066,0.465563098
E01015048,1.452108439,1.02775551,0.646185165,1.948001643,3.117275884,1.603820599
E01015049,0.790070046,0.860655296,1.192448679,1.726518806,1.168680613,1.887985363
E01015050,0.132249869,0.143276387,0.125438837,0.098691973,0.099614339,0.094084127
E01015051,2.626312898,3.067838714,4.96454716,3.012822207,5.09990905,3.602792106
E01015052,0.238298602,0.192904378,0.191327965,0.146613458,0.132867083,0.138568743
E01015053,15.27052349,6.810160441,3.576789551,2.826459858,1.699573968,2.310311925
E01015054,1.236663912,3.201513281,1.743785139,1.171292112,0.6912888,0.364383031
E01015055,1.845200408,1.065200116,0.825546125,1.185063561,1.161741594,1.416746579
E01015056,0.22520471,0.215892566,0.186631001,0.196605228,0.26237964,0.236921792
E01015057,0.413280763,0.65237931,0.68152477,0.437161913,1.425801731,0.995337729
E01015058,0.630709237,0.688202652,0.482440255,1.33648171,0.907181873,0.858257665
E01015059,1.515185768,2.507132408,0.080570221,2.195694521,1.215376254,1.562258123
E01015060,2.258979956,1.006146026,0.596752025,0.407529396,0.205543546,0.32439464
E01015061,2.424042316,1.907954181,1.808685428,2.063628237,2.374967843,2.49548682
E01015062,0.37343312,0.430772307,0.417393578,0.576822778,0.441819524,0.243179721
E01015063,2.288164571,1.896192915,2.130806487,1.435733904,0.904950817,0.583473077
E01015064,1.44763788,1.152486143,0.918631459,0.66493329,0.850272121,0.956794104
E01015065,1.153370768,1.36599637,1.530456887,1.189478656,1.216909167,1.242059273
E01015066,2.797378316,4.568743327,2.768405554,1.403693489,1.064469744,1.137249845
E01015067,0.933572116,0.791205154,0.625537481,0.733428967,0.809471409,0.716155254
E01015068,0.699188006,1.054575046,1.162258238,2.918362002,1.945526093,1.982108656
E01015069,2.243291469,1.175992426,0.518891328,0.841918034,1.149607879,0.695121891
E01015070,0.356799,0.479860075,1.210862507,1.858323077,2.555788184,3.41926342
E01015071,0.939005546,0.630728265,0.619293758,0.846432873,0.723753089,0.624124113
E01015072,1.285504234,1.051476758,0.952979656,0.911651755,0.661865928,0.583598712
E01015073,0.345038689,0.464943507,0.387312801,0.690749,1.292203632,1.331230807
E01015074,1.201820686,2.233023149,1.041074131,0.546782409,1.213824754,1.13951947
E01015075,0.677704434,3.012215876,1.483735288,1.697138057,3.558083534,3.913960066
E01015076,3.044124409,2.25851562,1.315036497,2.294211285,1.644037824,1.525928639
E01015077,0.579491412,0.614726667,0.628654295,0.419031081,0.387984651,0.240746256
E01015078,0.610000918,1.133089889,2.762867646,1.049967262,1.304054586,0.94430689
