Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,19,22,33,25,17,116
E01015024,7,8,13,14,7,50
E01015025,3,3,6,8,8,28
E01015026,17,25,24,24,14,104
E01015027,7,6,15,16,8,53
E01015028,16,24,24,22,12,98
E01015029,12,24,32,19,11,98
E01015030,16,22,26,23,14,102
E01015031,23,17,16,13,12,80
E01015032,67,17,14,8,5,112
E01015033,4,2,7,9,5,27
E01015034,4,2,7,6,6,26
E01015035,8,8,15,14,9,54
E01015036,6,6,17,11,13,54
E01015037,5,9,11,15,8,48
E01015038,7,9,18,16,9,58
E01015039,6,12,10,8,4,40
E01015040,17,18,28,24,11,98
E01015041,12,19,23,19,6,80
E01015042,11,22,23,17,6,79
E01015043,23,22,26,20,7,98
E01015044,19,21,28,21,10,99
E01015045,21,29,23,22,10,105
E01015046,17,26,28,21,15,108
E01015047,20,27,34,26,13,120
E01015048,26,38,29,17,8,117
E01015049,28,8,7,6,3,54
E01015050,84,18,9,5,5,122
E01015051,55,5,6,4,4,74
E01015052,83,21,22,14,8,148
E01015053,59,13,11,12,5,100
E01015054,111,9,7,6,3,136
E01015055,15,17,29,26,13,99
E01015056,12,20,18,25,15,90
E01015057,21,22,31,21,13,108
E01015058,22,23,28,26,11,110
E01015059,11,18,25,19,9,83
E01015060,19,12,23,18,10,82
E01015061,27,15,21,13,6,82
E01015062,42,10,9,6,3,71
E01015063,12,18,18,19,12,78
E01015064,3,2,6,9,7,28
E01015065,6,7,9,12,11,46
E01015066,5,7,14,13,9,48
E01015067,3,2,6,8,7,26
E01015068,7,9,15,13,9,53
E01015069,14,14,22,19,13,83
E01015070,11,17,25,20,9,82
E01015071,9,10,23,20,17,79
E01015072,18,19,27,26,13,103
E01015073,12,19,23,30,14,98
E01015074,12,19,24,24,18,98
E01015075,18,14,25,25,17,98
E01015076,8,7,14,12,6,47
E01015077,15,20,26,24,19,103
E01015078,15,23,27,26,13,104
E01015079,6,7,13,14,10,49
E01015080,6,11,15,10,5,47
E01015081,15,18,30,25,16,103
E01015082,17,16,25,30,17,104
E01015083,20,16,25,28,17,105
E01015084,11,8,22,22,13,75
E01015085,12,11,20,23,19,85
E01015086,13,15,21,25,20,93
E01015087,22,14,32,25,10,103
E01015088,28,26,28,18,10,110
E01015089,13,17,20,21,17,87
E01015090,4,6,11,16,8,44
E01015091,7,3,11,18,11,50
E01015092,24,11,13,11,6,65
E01015093,5,9,17,26,13,71
E01015094,12,11,17,20,12,74
E01015095,9,10,19,17,19,75
E01015096,11,13,28,28,18,98
E01015097,7,5,13,20,21,65
E01015098,8,11,17,10,7,53
E01015099,10,11,19,10,6,55
E01015100,11,12,16,11,5,54
E01015101,3,2,7,8,8,28
E01015102,7,12,15,12,7,53
E01015103,7,9,17,12,5,50
E01015104,4,3,8,7,4,26
E01015105,3,4,9,7,4,27
E01015106,6,7,10,11,7,41
E01015107,9,10,15,11,5,49
E01015108,8,17,15,14,8,62
E01015109,7,9,13,15,6,49
E01015110,4,3,7,8,4,27
E01015111,9,13,16,12,6,56
E01015112,7,8,15,13,8,52
E01015113,7,7,13,15,10,52
E01015114,5,6,13,14,10,48
E01015115,6,10,19,19,21,75
E01015116,6,7,12,12,8,45
E01015117,7,8,14,16,8,54
E01015118,3,3,10,6,6,29
E01015119,7,8,19,13,7,54
E01015120,8,6,16,14,10,55
E01015121,3,2,7,7,7,26
E01015122,6,6,15,12,11,51
E01015123,6,6,12,15,18,58
E01015124,4,7,13,14,13,50
E01015125,7,6,14,14,11,52
E01015126,3,2,5,6,9,25
E01015127,7,6,12,13,13,51
E01015128,8,6,11,16,14,56
E01015129,7,10,14,13,6,50
E01015130,4,5,9,7,3,28
E01015131,2,2,6,7,9,26
E01015132,6,6,11,14,12,49
E01015133,3,2,7,7,8,27
E01015134,6,9,14,11,12,52
E01015135,9,7,15,14,9,54
E01015136,7,4,13,12,9,45
E01015137,6,7,16,14,9,53
E01015138,6,5,16,16,12,55
E01015139,5,6,11,11,10,43
E01015140,2,4,5,5,8,24
E01015141,4,3,9,9,8,31
E01015142,9,14,16,23,11,73
E01015143,8,12,14,20,13,67
E01015144,17,18,31,22,11,100
E01015145,31,43,34,17,3,129
E01015146,23,29,38,25,8,124
E01015147,8,9,15,18,14,64
E01015148,12,16,22,22,11,82
E01015149,16,18,23,25,15,98
E01015150,10,10,17,20,15,72
E01015151,46,21,29,19,7,123
E01015152,33,23,30,21,13,120
E01015153,20,21,24,24,13,101
E01015155,28,25,28,23,8,112
E01015156,53,16,18,19,10,116
E01015157,19,42,35,37,18,150
E01015158,29,36,27,35,29,156
E01015159,10,10,19,24,21,84
