Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,6,10,15,13,2,45
E01015024,4,7,12,15,3,41
E01015025,4,4,9,14,5,36
E01015026,4,15,13,11,2,45
E01015027,5,8,12,14,3,42
E01015028,4,10,9,10,2,36
E01015029,5,9,12,10,2,38
E01015030,5,10,14,12,2,43
E01015031,7,13,10,9,2,41
E01015032,27,16,12,7,2,64
E01015033,5,3,14,14,3,39
E01015034,4,4,9,11,3,30
E01015035,5,9,13,10,3,40
E01015036,3,4,12,10,3,33
E01015037,3,7,9,10,3,32
E01015038,6,9,15,14,3,46
E01015039,14,34,24,9,1,82
E01015040,2,5,11,11,2,31
E01015041,2,9,12,11,2,36
E01015042,4,10,14,11,1,40
E01015043,5,12,12,10,1,41
E01015044,5,15,13,10,3,45
E01015045,5,13,14,12,1,46
E01015046,6,12,14,15,3,49
E01015047,6,10,11,12,2,41
E01015048,7,14,17,12,2,51
E01015049,24,8,7,7,1,47
E01015050,30,12,5,5,1,53
E01015051,32,6,5,5,1,49
E01015052,27,12,11,7,1,57
E01015053,17,5,8,6,1,38
E01015054,32,4,5,4,1,45
E01015055,4,6,12,12,2,37
E01015056,3,10,11,15,3,42
E01015057,4,8,13,10,2,36
E01015058,6,9,11,8,2,36
E01015059,5,11,14,12,2,43
E01015060,5,10,12,9,3,38
E01015061,8,10,12,7,1,38
E01015062,27,11,12,6,1,58
E01015063,3,11,10,9,2,36
E01015064,4,5,13,13,5,39
E01015065,3,5,8,9,3,28
E01015066,4,6,12,11,3,36
E01015067,5,4,8,14,4,35
E01015068,5,8,14,11,3,40
E01015069,5,9,12,10,2,39
E01015070,7,16,25,17,4,69
E01015071,3,5,12,13,3,36
E01015072,5,9,12,12,2,39
E01015073,4,9,12,13,2,40
E01015074,5,9,11,11,3,38
E01015075,1,4,9,9,2,26
E01015076,3,8,13,12,2,38
E01015077,4,10,15,14,3,46
E01015078,5,9,11,11,2,38
E01015079,4,8,11,13,3,39
E01015080,4,4,7,4,1,20
E01015081,5,7,11,10,2,36
E01015082,5,11,11,13,3,43
E01015083,4,9,13,14,3,43
E01015084,4,6,9,11,3,34
E01015085,3,8,12,12,3,38
E01015086,3,8,10,8,3,32
E01015087,7,9,13,9,2,40
E01015088,5,8,12,7,2,34
E01015089,4,10,11,11,4,40
E01015090,3,6,9,13,3,33
E01015091,4,6,9,15,4,38
E01015092,10,9,10,8,2,39
E01015093,3,6,13,12,3,37
E01015094,3,6,9,10,3,31
E01015095,3,6,11,8,4,33
E01015096,4,6,10,10,3,32
E01015097,3,6,12,17,7,45
E01015098,5,10,16,9,2,42
E01015099,5,11,14,9,2,39
E01015100,7,10,14,10,2,42
E01015101,3,4,13,13,3,36
E01015102,4,13,17,13,3,50
E01015103,4,9,16,11,2,42
E01015104,4,5,13,14,3,38
E01015105,4,8,15,11,2,40
E01015106,4,6,11,9,3,33
E01015107,5,9,14,10,2,39
E01015108,4,13,14,11,2,44
E01015109,4,10,13,13,2,42
E01015110,5,7,14,14,3,44
E01015111,4,12,17,9,1,43
E01015112,3,8,13,11,2,37
E01015113,4,6,13,11,3,37
E01015114,4,6,13,12,3,38
E01015115,4,7,8,9,3,32
E01015116,4,6,11,11,3,36
E01015117,4,8,11,13,3,38
E01015118,4,6,17,10,3,39
E01015119,5,7,15,13,2,43
E01015120,4,5,12,13,4,37
E01015121,3,3,10,10,4,31
E01015122,5,7,13,10,3,39
E01015123,3,6,12,13,5,39
E01015124,3,6,13,10,4,36
E01015125,4,6,13,10,4,37
E01015126,2,3,8,10,4,28
E01015127,4,5,10,11,4,35
E01015128,4,7,9,14,4,37
E01015129,3,8,12,10,2,35
E01015130,5,6,15,11,2,40
E01015131,3,2,9,12,5,31
E01015132,4,5,11,10,4,34
E01015133,4,5,10,13,4,35
E01015134,4,7,12,9,3,34
E01015135,5,6,14,11,3,40
E01015136,4,6,11,12,3,35
E01015137,4,6,12,13,3,38
E01015138,3,4,13,16,4,40
E01015139,4,6,9,11,3,34
E01015140,3,7,8,9,4,30
E01015141,3,5,12,15,5,40
E01015142,4,8,10,14,2,38
E01015143,3,6,9,12,3,33
E01015144,5,10,12,11,2,41
E01015145,2,12,13,7,1,35
E01015146,6,10,15,12,2,44
E01015147,2,5,9,10,3,30
E01015148,6,10,13,9,2,40
E01015149,5,7,11,10,2,35
E01015150,3,7,11,15,3,39
E01015151,17,13,12,11,2,55
E01015152,10,14,14,12,3,53
E01015153,9,10,14,14,2,50
E01015155,7,16,14,15,2,55
E01015156,14,14,12,11,3,54
E01015157,8,27,21,21,4,80
E01015158,12,22,16,15,4,68
E01015159,3,7,11,13,3,38
