Area	Rate
E92000001	
E12000009	
E01015023	0.0641
E01015024	0.0646
E01015025	0.0529
E01015026	0.0673
E01015027	0.0611
E01015028	0.0641
E01015029	0.063
E01015030	0.0643
E01015031	0.0633
E01015032	0.0592
E01015033	0.0597
E01015034	0.0572
E01015035	0.0633
E01015036	0.0596
E01015037	0.0612
E01015038	0.0636
E01015039	0.0694
E01015040	0.0654
E01015041	0.0669
E01015042	0.0685
E01015043	0.068
E01015044	0.0657
E01015045	0.0689
E01015046	0.0645
E01015047	0.0646
E01015048	0.0677
E01015049	0.0571
E01015050	0.0556
E01015051	0.0532
E01015052	0.0592
E01015053	0.0581
E01015054	0.0531
E01015055	0.0646
E01015056	0.0628
E01015057	0.065
E01015058	0.0637
E01015059	0.0672
E01015060	0.0632
E01015061	0.0647
E01015062	0.0585
E01015063	0.0632
E01015064	0.0555
E01015065	0.056
E01015066	0.0623
E01015067	0.0534
E01015068	0.0619
E01015069	0.0643
E01015070	0.0661
E01015071	0.0612
E01015072	0.0654
E01015073	0.0645
E01015074	0.0616
E01015075	0.0625
E01015076	0.0642
E01015077	0.0637
E01015078	0.0637
E01015079	0.062
E01015080	0.0655
E01015081	0.0623
E01015082	0.0635
E01015083	0.0632
E01015084	0.0589
E01015085	0.0614
E01015086	0.0609
E01015087	0.0645
E01015088	0.0649
E01015089	0.0596
E01015090	0.06
E01015091	0.0586
E01015092	0.0611
E01015093	0.0642
E01015094	0.0598
E01015095	0.0568
E01015096	0.0599
E01015097	0.0522
E01015098	0.0646
E01015099	0.0673
E01015100	0.0661
E01015101	0.0587
E01015102	0.0661
E01015103	0.0683
E01015104	0.0628
E01015105	0.0665
E01015106	0.0613
E01015107	0.067
E01015108	0.0653
E01015109	0.0662
E01015110	0.0621
E01015111	0.0706
E01015112	0.0626
E01015113	0.0597
E01015114	0.0626
E01015115	0.0564
E01015116	0.0592
E01015117	0.0637
E01015118	0.061
E01015119	0.0661
E01015120	0.0596
E01015121	0.0548
E01015122	0.0586
E01015123	0.0546
E01015124	0.0559
E01015125	0.059
E01015126	0.0503
E01015127	0.0565
E01015128	0.0573
E01015129	0.0674
E01015130	0.0645
E01015131	0.0498
E01015132	0.0568
E01015133	0.0557
E01015134	0.0604
E01015135	0.0609
E01015136	0.0602
E01015137	0.0614
E01015138	0.0586
E01015139	0.0582
E01015140	0.0543
E01015141	0.0568
E01015142	0.0645
E01015143	0.0602
E01015144	0.0662
E01015145	0.0728
E01015146	0.0669
E01015147	0.0586
E01015148	0.065
E01015149	0.0628
E01015150	0.0629
E01015151	0.0623
E01015152	0.0626
E01015153	0.0644
E01015155	0.0659
E01015156	0.0611
E01015157	0.0662
E01015158	0.0608
E01015159	0.0593
E01015160	0.0558
E01015161	0.0587
E01015162	0.0629
E01015163	0.0581
E01015164	0.0668
E01015165	0.0655
E01015166	0.0644
E01015167	0.0675
E01015168	0.069
E01015169	0.0584
E01015170	0.0624
E01015171	0.0642
E01015172	0.0672
E01015173	0.0636
E01015174	0.0636
E01015175	0.0648
E01015176	0.0621
E01015177	0.0645
E01015178	0.0608
E01015179	0.0602
E01015180	0.0661
E01015181	0.0674
E01015182	0.0661
E01015183	0.0574
E01015184	0.0481
E01015185	0.0543
E01015186	0.0582
E01015187	0.0485
E01015188	0.053
E01015189	0.0591
E01015190	0.0559
E01015191	0.0641
E01015192	0.0617
E01015193	0.0569
E01015194	0.0601
E01015195	0.0608
E01015196	0.0632
E01015197	0.051
E01015198	0.0522
E01015199	0.0473
E01015200	0.0566
E01015201	0.0553
E01015202	0.0604
E01015203	0.0537
E01015204	0.062
E01015205	0.0587
E01015206	0.0614
E01015207	0.0634
E01015208	0.0499
E01015209	0.0598
E01015210	0.0619
E01015211	0.0583
E01015212	0.0652
E01015213	0.0624
E01015214	0.0674
E01015215	0.0616
E01015216	0.0624
E01015217	0.0646
E01015218	0.0618
E01015219	0.0537
E01015220	0.0559
E01015221	0.0595
E01015222	0.0564
E01015223	0.0601
E01015224	0.0583
E01015225	0.0584
E01015226	0.054
E01015227	0.0599
E01015228	0.0568
E01015229	0.0548
E01015230	0.0516
E01015231	0.0641
E01015232	0.0613
E01015233	0.0604
E01015234	0.0643
E01015235	0.0516
E01015236	0.0608
E01015237	0.0634
E01015238	0.0594
E01015239	0.0543
E01015240	0.0534
E01015241	0.0585
E01015242	0.0627
E01015243	0.057
E01015244	0.0549
E01015245	0.0527
E01015246	0.0542
E01015247	0.0589
E01015248	0.0603
E01015249	0.0645
E01015250	0.0641
E01015251	0.0596
E01015252	0.0672
E01015253	0.0669
E01015254	0.0552
E01015255	0.064
E01015256	0.0631
E01015257	0.0633
E01015258	0.0622
E01015259	0.0665
E01015260	0.0627
