Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,24,32,48,37,20,161
E01015024,12,15,25,29,10,90
E01015025,6,7,16,21,13,64
E01015026,22,40,37,35,16,149
E01015027,12,14,28,30,12,95
E01015028,20,34,33,33,14,133
E01015029,17,34,44,28,13,136
E01015030,22,32,40,35,17,145
E01015031,30,30,26,22,14,121
E01015032,94,33,26,15,7,175
E01015033,9,5,21,22,8,66
E01015034,8,6,16,17,9,57
E01015035,13,17,28,24,11,93
E01015036,9,11,29,21,16,87
E01015037,8,15,20,24,11,79
E01015038,13,17,33,30,12,105
E01015039,20,46,34,17,5,122
E01015040,20,23,40,35,13,129
E01015041,14,28,35,30,9,116
E01015042,16,32,36,27,8,119
E01015043,28,34,38,30,8,138
E01015044,24,36,41,31,13,144
E01015045,26,43,37,33,11,150
E01015046,23,38,42,36,18,156
E01015047,26,37,45,38,16,162
E01015048,32,52,46,29,9,169
E01015049,52,17,14,13,5,101
E01015050,114,30,14,10,7,174
E01015051,87,11,11,8,5,123
E01015052,110,33,32,21,9,205
E01015053,75,18,19,18,6,138
E01015054,142,13,12,10,4,181
E01015055,19,23,41,38,15,136
E01015056,15,30,30,40,18,132
E01015057,25,30,44,31,15,144
E01015058,28,32,39,35,12,146
E01015059,16,29,39,31,11,126
E01015060,24,23,34,27,13,120
E01015061,35,24,32,19,8,120
E01015062,70,21,21,12,5,128
E01015063,15,29,28,29,14,114
E01015064,7,8,19,22,12,67
E01015065,9,12,17,21,15,73
E01015066,9,13,26,25,12,84
E01015067,8,6,14,21,11,61
E01015068,12,17,29,23,11,93
E01015069,20,24,34,30,15,122
E01015070,17,33,50,37,13,151
E01015071,12,16,35,33,20,115
E01015072,23,29,38,38,15,143
E01015073,16,28,34,43,17,139
E01015074,17,27,35,35,21,136
E01015075,19,18,34,34,19,123
E01015076,11,15,26,24,9,85
E01015077,19,30,40,38,21,149
E01015078,20,32,38,37,15,142
E01015079,10,14,25,26,13,88
E01015080,10,15,22,14,6,67
E01015081,20,25,41,35,18,140
E01015082,22,28,36,42,20,147
E01015083,24,25,38,42,20,147
E01015084,15,14,31,33,17,109
E01015085,15,20,32,35,22,123
E01015086,16,22,30,34,22,125
E01015087,29,23,45,34,12,144
E01015088,33,35,40,26,11,144
E01015089,17,27,31,32,21,127
E01015090,7,11,19,28,11,77
E01015091,11,9,19,33,15,88
E01015092,34,19,24,19,8,104
E01015093,8,15,30,39,16,108
E01015094,16,18,26,30,15,105
E01015095,12,17,30,25,24,108
E01015096,15,19,38,38,22,131
E01015097,10,11,24,37,28,110
E01015098,13,21,33,20,9,96
E01015099,14,22,33,19,7,94
E01015100,17,22,29,20,7,96
E01015101,6,6,21,21,11,65
E01015102,11,25,32,25,9,103
E01015103,11,19,33,23,7,93
E01015104,8,8,21,20,7,64
E01015105,7,12,24,18,6,68
E01015106,9,13,21,20,10,73
E01015107,13,19,29,21,6,88
E01015108,12,29,29,25,10,106
E01015109,12,18,26,27,8,91
E01015110,8,11,22,23,7,70
E01015111,13,25,32,22,7,99
E01015112,10,16,28,25,11,89
E01015113,11,13,26,26,14,89
E01015114,9,12,27,25,13,86
E01015115,10,16,28,28,24,106
E01015116,10,13,23,23,12,81
E01015117,11,16,25,29,11,92
E01015118,7,9,27,16,9,68
E01015119,13,16,34,26,9,97
E01015120,12,11,29,27,14,92
E01015121,6,6,17,17,11,57
E01015122,12,14,27,22,15,90
E01015123,9,12,25,27,23,97
E01015124,8,12,26,24,17,87
E01015125,11,12,27,24,14,89
E01015126,5,6,13,16,13,53
E01015127,11,12,22,25,16,86
E01015128,12,13,20,30,18,93
E01015129,10,18,26,23,7,85
E01015130,9,11,23,18,6,67
E01015131,6,3,15,19,14,57
E01015132,10,11,22,24,16,83
E01015133,7,7,17,20,12,62
E01015134,10,16,26,20,14,85
E01015135,15,13,29,25,12,93
E01015136,11,10,24,24,12,80
E01015137,10,14,28,27,12,91
E01015138,9,9,29,32,17,95
E01015139,9,11,20,23,13,76
E01015140,5,11,13,14,12,54
E01015141,7,8,20,23,12,71
E01015142,13,22,26,37,13,111
E01015143,11,18,23,32,16,100
E01015144,22,29,43,34,13,141
E01015145,34,55,47,24,3,163
E01015146,29,39,53,37,10,168
E01015147,10,14,24,28,17,93
E01015148,17,26,34,31,13,122
E01015149,22,25,34,35,17,133
E01015150,14,17,28,35,18,111
E01015151,63,34,41,30,9,178
E01015152,44,37,43,33,16,173
E01015153,29,31,38,38,15,151
E01015155,36,41,42,39,10,168
E01015156,67,30,30,29,13,169
E01015157,27,68,56,57,22,230
E01015158,40,58,42,50,33,224
E01015159,13,17,30,37,24,121
