Area,Rate
E92000001,
E12000009,
E01015023,11.25
E01015024,7.1
E01015025,4.52
E01015026,11.38
E01015027,6.86
E01015028,11.45
E01015029,9.91
E01015030,11.12
E01015031,9.4
E01015032,9.27
E01015033,5.05
E01015034,4.74
E01015035,7.19
E01015036,6.82
E01015037,6.86
E01015038,7.16
E01015039,7.2
E01015040,12.05
E01015041,10.07
E01015042,10.02
E01015043,11.77
E01015044,11.21
E01015045,11.59
E01015046,10.94
E01015047,11.79
E01015048,11.63
E01015049,6.8
E01015050,9.51
E01015051,6.84
E01015052,11.25
E01015053,11.25
E01015054,10.01
E01015055,11.47
E01015056,9.41
E01015057,11.76
E01015058,11.91
E01015059,9.76
E01015060,9.65
E01015061,9.92
E01015062,7
E01015063,9.56
E01015064,4.71
E01015065,6.63
E01015066,7.06
E01015067,4.62
E01015068,7.07
E01015069,9.56
E01015070,7.22
E01015071,9.22
E01015072,11.49
E01015073,11.17
E01015074,10.86
E01015075,11.98
E01015076,7.05
E01015077,9.53
E01015078,11.45
E01015079,6.8
E01015080,11.4
E01015081,11.36
E01015082,11.06
E01015083,11
E01015084,9.18
E01015085,9.26
E01015086,11.1
E01015087,11.48
E01015088,12.2
E01015089,9.16
E01015090,6.9
E01015091,6.61
E01015092,7.16
E01015093,9.23
E01015094,9.34
E01015095,8.9
E01015096,11.13
E01015097,6.27
E01015098,7.28
E01015099,7.55
E01015100,7.48
E01015101,4.79
E01015102,7.14
E01015103,7.53
E01015104,5.23
E01015105,5.38
E01015106,6.84
E01015107,7.34
E01015108,7.33
E01015109,7.19
E01015110,5.28
E01015111,7.69
E01015112,7.13
E01015113,6.9
E01015114,6.98
E01015115,8.72
E01015116,6.7
E01015117,7.24
E01015118,5.02
E01015119,7.39
E01015120,6.95
E01015121,4.61
E01015122,6.73
E01015123,6.2
E01015124,6.52
E01015125,6.85
E01015126,4.31
E01015127,6.65
E01015128,6.68
E01015129,7.29
E01015130,5.37
E01015131,4.34
E01015132,6.45
E01015133,4.68
E01015134,6.86
E01015135,6.83
E01015136,6.73
E01015137,7.07
E01015138,6.77
E01015139,6.53
E01015140,4.52
E01015141,4.79
E01015142,9.43
E01015143,9.09
E01015144,11.43
E01015145,13.46
E01015146,12.02
E01015147,8.96
E01015148,9.63
E01015149,11.33
E01015150,9.09
E01015151,11.1
E01015152,10.98
E01015153,10.75
E01015155,11.12
E01015156,10.82
E01015157,10.75
E01015158,10.52
E01015159,8.95
E01015160,4.76
E01015161,9.19
E01015162,9.38
E01015163,6.56
E01015164,7.3
E01015165,7.44
E01015166,9.55
E01015167,9.77
E01015168,9.82
E01015169,8.98
E01015170,11.15
E01015171,10.87
E01015172,9.94
E01015173,9.3
E01015174,7.03
E01015175,9.57
E01015176,10.97
E01015177,9.62
E01015178,9.41
E01015179,7.07
E01015180,11.14
E01015181,11.41
E01015182,11.39
E01015183,8.88
E01015184,5.68
E01015185,8.61
E01015186,10.92
E01015187,5.83
E01015188,6.17
E01015189,9.1
E01015190,10.59
E01015191,7.12
E01015192,11.53
E01015193,9.19
E01015194,11.12
E01015195,9.3
E01015196,11.93
E01015197,4.38
E01015198,6.17
E01015199,4.12
E01015200,6.48
E01015201,6.49
E01015202,6.82
E01015203,6.44
E01015204,9.36
E01015205,6.61
E01015206,9.26
E01015207,6.99
E01015208,4.33
E01015209,9.08
E01015210,11.55
E01015211,6.8
E01015212,9.77
E01015213,6.89
E01015214,11.82
E01015215,6.93
E01015216,11.38
E01015217,11.24
E01015218,11.1
E01015219,8.55
E01015220,6.44
E01015221,6.59
E01015222,6.44
E01015223,6.98
E01015224,6.63
E01015225,6.61
E01015226,6.46
E01015227,6.79
E01015228,8.64
E01015229,10.27
E01015230,6.14
E01015231,11.07
E01015232,10.37
E01015233,10.89
E01015234,11.47
E01015235,8.02
E01015236,9.07
E01015237,7.01
E01015238,9.01
E01015239,9.97
E01015240,8.2
E01015241,9.04
E01015242,11.56
E01015243,6.41
E01015244,6.4
E01015245,8.51
E01015246,6.07
E01015247,8.97
E01015248,9.34
E01015249,9.64
E01015250,7.23
E01015251,7.02
E01015252,7.33
E01015253,7.58
E01015254,6.35
E01015255,10.65
E01015256,10.87
E01015257,11.36
E01015258,9.32
E01015259,11.94
E01015260,10.89
E01015261,10.87
E01015262,11.45
E01015263,11.66
E01015264,6.31
E01015265,8.47
E01015266,11.45
E01015267,10.2
E01015268,8.14
E01015269,8.52
E01015270,9.9
E01015271,5.84
E01019886,6.64
E01019887,6.63
E01019888,6.22
E01019889,6.47
E01019890,6.49
E01019891,6.81
E01019892,7.56
E01019893,7.01
E01019894,3.84
E01019895,4.21
E01019896,4.02
E01019897,6.74
E01019898,6.47
E01019899,6.6
