Area,March 2013 - Feb 2014,March 2014 - Feb 2015,March 2015 - Feb 2016,March 2016 - Feb 2017,March 2017 - Feb 2018
E92000001,,,,,
E12000009,,,,,
E01015023,16,12,16,11,16
E01015024,#,#,#,#,#
E01015025,#,#,#,#,#
E01015026,18,21,17,7,8
E01015027,7,5,5,5,#
E01015028,20,18,16,12,9
E01015029,15,#,5,10,13
E01015030,15,19,11,15,12
E01015031,11,14,12,9,13
E01015032,5,9,6,9,8
E01015033,#,#,#,#,#
E01015034,0,#,0,#,#
E01015035,7,9,#,8,7
E01015036,#,#,0,#,#
E01015037,10,10,#,5,5
E01015038,#,6,6,5,#
E01015039,8,7,7,7,#
E01015040,28,27,22,11,14
E01015041,7,7,10,9,7
E01015042,18,15,10,13,7
E01015043,24,21,15,11,11
E01015044,18,11,7,6,7
E01015045,15,12,7,8,6
E01015046,21,20,23,18,18
E01015047,28,25,15,9,9
E01015048,24,16,13,18,14
E01015049,8,7,#,#,#
E01015050,5,#,5,#,#
E01015051,#,#,6,#,#
E01015052,8,6,6,7,#
E01015053,7,5,6,#,#
E01015054,7,#,#,#,#
E01015055,16,18,16,15,7
E01015056,9,7,6,8,5
E01015057,18,20,15,12,9
E01015058,22,21,19,31,24
E01015059,16,15,11,7,8
E01015060,10,12,7,9,9
E01015061,9,8,13,6,7
E01015062,8,14,16,8,8
E01015063,9,6,5,6,#
E01015064,#,7,#,#,#
E01015065,#,0,0,0,0
E01015066,#,6,#,#,6
E01015067,#,#,0,#,#
E01015068,#,5,#,10,9
E01015069,13,9,6,8,10
E01015070,12,7,7,#,5
E01015071,6,#,#,#,5
E01015072,23,17,10,10,6
E01015073,13,12,16,6,6
E01015074,22,12,9,10,6
E01015075,14,12,8,9,10
E01015076,8,7,#,#,#
E01015077,13,7,#,#,5
E01015078,26,31,17,21,11
E01015079,#,#,#,#,5
E01015080,18,14,9,#,6
E01015081,12,12,#,7,15
E01015082,13,14,12,13,14
E01015083,10,9,6,9,9
E01015084,15,10,8,6,9
E01015085,12,10,9,7,6
E01015086,6,#,8,9,6
E01015087,23,20,20,15,17
E01015088,28,22,30,19,15
E01015089,11,9,6,#,6
E01015090,#,#,#,#,#
E01015091,10,9,6,6,#
E01015092,6,#,#,#,#
E01015093,#,10,#,5,#
E01015094,15,8,6,6,#
E01015095,7,8,8,#,#
E01015096,13,9,12,6,#
E01015097,#,#,#,6,8
E01015098,9,#,#,#,#
E01015099,#,#,#,#,#
E01015100,7,#,#,#,#
E01015101,#,#,#,#,#
E01015102,10,8,5,7,#
E01015103,6,#,#,5,#
E01015104,#,#,#,#,5
E01015105,7,#,#,#,#
E01015106,6,#,#,#,#
E01015107,7,8,7,7,6
E01015108,5,#,#,#,#
E01015109,6,5,7,#,#
E01015110,#,6,7,5,#
E01015111,5,#,#,0,#
E01015112,#,6,#,#,5
E01015113,7,#,#,#,#
E01015114,#,0,#,5,#
E01015115,10,12,#,5,6
E01015116,7,6,#,#,#
E01015117,7,#,7,5,#
E01015118,#,5,#,5,#
E01015119,7,5,5,6,5
E01015120,6,7,6,7,6
E01015121,6,#,#,#,#
E01015122,6,7,5,7,6
E01015123,6,#,#,0,#
E01015124,#,0,#,0,#
E01015125,11,8,#,#,#
E01015126,#,#,#,#,#
E01015127,6,6,8,#,#
E01015128,#,#,#,#,#
E01015129,#,5,8,6,#
E01015130,6,8,8,5,#
E01015131,0,#,#,#,0
E01015132,6,#,#,#,#
E01015133,11,#,#,#,#
E01015134,#,#,#,5,#
E01015135,8,8,6,5,5
E01015136,9,7,5,#,5
E01015137,#,7,#,6,7
E01015138,0,#,5,6,#
E01015139,6,6,#,#,5
E01015140,7,7,#,0,#
E01015141,6,#,5,#,#
E01015142,11,7,8,6,7
E01015143,11,6,#,7,7
E01015144,24,21,16,10,12
E01015145,33,28,14,18,18
E01015146,25,25,19,21,12
E01015147,9,8,5,#,#
E01015148,7,7,8,10,#
E01015149,17,17,16,14,11
E01015150,6,#,#,6,9
E01015151,14,13,17,15,10
E01015152,17,14,17,20,20
E01015153,20,16,15,12,12
E01015155,52,46,42,38,31
E01015156,26,17,17,16,5
E01015157,7,11,9,5,#
E01015158,34,41,50,41,23
E01015159,5,9,10,9,6
E01015160,#,#,5,#,0
E01015161,6,14,12,7,#
E01015162,11,11,8,7,6
E01015163,#,#,#,5,#
E01015164,5,10,7,9,13
E01015165,8,12,10,9,#
E01015166,18,14,11,8,9
E01015167,12,13,7,#,10
E01015168,19,16,16,18,15
E01015169,12,8,5,7,#
E01015170,8,7,6,7,7
E01015171,#,#,#,#,#
E01015172,8,7,6,#,8
E01015173,7,9,6,#,6
E01015174,11,9,11,14,10
E01015175,14,11,5,6,#
