Area,Label,RD&E Exeter Hospital,Barnstaple Hospital,Torbay Hospital,Plymouth Hospital,Community Hospital,Outside Devon,Total
E92000001,England,,,,,,,
E12000009,South West,,,,,,,
E01015023,Plymouth 003A,0,0,<5,228,0,6,235
E01015024,Plymouth 004A,0,0,0,115,0,<5,119
E01015025,Plymouth 001A,0,0,0,181,0,<5,184
E01015026,Plymouth 003B,0,0,0,200,0,<5,202
E01015027,Plymouth 002A,0,0,0,139,0,5,144
E01015028,Plymouth 003C,0,0,<5,194,0,5,200
E01015029,Plymouth 008A,0,0,0,170,0,<5,174
E01015030,Plymouth 007A,0,0,<5,186,0,<5,190
E01015031,Plymouth 023A,<5,<5,0,180,0,<5,185
E01015032,Plymouth 023B,0,0,0,131,0,7,138
E01015033,Plymouth 016A,0,0,<5,118,0,5,124
E01015034,Plymouth 016B,0,0,<5,122,0,<5,125
E01015035,Plymouth 012A,0,<5,0,138,0,<5,142
E01015036,Plymouth 016C,0,0,0,170,0,<5,171
E01015037,Plymouth 012B,<5,0,<5,155,0,<5,161
E01015038,Plymouth 016D,0,0,0,131,0,7,138
E01015039,Plymouth 014A,0,0,0,133,0,9,142
E01015040,Plymouth 014B,0,0,0,199,0,<5,200
E01015041,Plymouth 014C,0,0,<5,228,0,11,240
E01015042,Plymouth 020A,0,0,0,134,0,5,139
E01015043,Plymouth 026A,0,0,<5,194,0,<5,199
E01015044,Plymouth 020B,0,0,0,143,0,<5,146
E01015045,Plymouth 026B,0,0,0,192,0,<5,195
E01015046,Plymouth 026C,0,0,0,309,0,<5,312
E01015047,Plymouth 026D,0,0,<5,187,0,6,194
E01015048,Plymouth 026E,<5,0,0,223,0,5,230
E01015049,Plymouth 023C,0,<5,<5,88,0,0,90
E01015050,Plymouth 023D,0,0,0,116,0,<5,120
E01015051,Plymouth 023E,<5,0,0,128,0,11,141
E01015052,Plymouth 028A,<5,0,<5,148,0,13,163
E01015053,Plymouth 027A,0,0,0,159,0,<5,162
E01015054,Plymouth 027B,0,0,0,105,0,5,110
E01015055,Plymouth 021A,0,0,<5,203,0,8,212
