Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,15,28,29,82,56,210
E01015024,12,21,22,83,47,185
E01015025,8,15,19,76,101,219
E01015026,14,37,22,70,45,188
E01015027,13,20,26,95,56,210
E01015028,12,30,23,68,39,172
E01015029,15,45,40,83,49,232
E01015030,15,31,23,75,46,190
E01015031,29,33,21,58,49,190
E01015032,88,30,21,37,19,195
E01015033,11,9,22,83,59,184
E01015034,12,11,24,67,69,183
E01015035,12,18,25,84,55,194
E01015036,9,17,24,74,72,196
E01015037,8,23,25,74,59,189
E01015038,11,23,29,94,57,214
E01015039,11,26,22,44,27,130
E01015040,13,26,25,73,37,174
E01015041,15,36,29,79,32,191
E01015042,14,40,29,70,32,185
E01015043,18,32,24,59,25,158
E01015044,14,28,25,71,33,171
E01015045,16,37,21,63,31,168
E01015046,15,35,28,67,52,197
E01015047,17,39,30,89,43,218
E01015048,24,53,31,67,27,202
E01015049,48,22,18,36,24,148
E01015050,108,35,15,20,21,199
E01015051,94,13,10,27,26,170
E01015052,74,29,23,42,27,195
E01015053,53,23,11,34,16,137
E01015054,138,16,10,24,12,200
E01015055,14,22,27,77,44,184
E01015056,14,36,21,92,63,226
E01015057,17,31,31,64,44,187
E01015058,21,28,28,77,36,190
E01015059,13,32,39,76,40,200
E01015060,22,25,30,72,47,196
E01015061,32,32,29,53,29,175
E01015062,79,29,19,40,21,188
E01015063,15,35,21,77,51,199
E01015064,10,10,17,92,83,212
E01015065,8,20,20,60,69,177
E01015066,8,17,22,75,57,179
E01015067,8,10,17,80,84,199
E01015068,12,25,27,76,56,196
E01015069,18,26,29,75,58,206
E01015070,17,43,48,127,60,295
E01015071,12,20,30,80,74,216
E01015072,14,25,21,80,44,184
E01015073,9,24,21,87,49,190
E01015074,10,26,23,74,60,193
E01015075,16,21,23,77,56,193
E01015076,11,21,24,75,42,173
E01015077,18,42,35,109,77,281
E01015078,13,32,28,77,44,194
E01015079,12,21,28,79,66,206
E01015080,6,16,15,30,15,82
E01015081,13,26,26,77,53,195
E01015082,14,20,21,89,61,205
E01015083,16,19,25,76,56,192
E01015084,13,14,27,84,62,200
E01015085,13,21,24,88,83,229
E01015086,11,22,20,67,65,185
E01015087,20,17,35,75,33,180
E01015088,22,36,26,62,32,178
E01015089,13,31,26,80,80,230
E01015090,8,16,22,77,52,175
E01015091,11,10,16,97,72,206
E01015092,39,34,28,64,44,209
E01015093,6,17,27,88,61,199
E01015094,13,21,21,73,60,188
E01015095,11,21,20,72,85,209
E01015096,10,16,31,76,60,193
E01015097,11,11,19,110,135,286
E01015098,14,29,33,72,42,190
E01015099,13,28,33,71,36,181
E01015100,17,31,26,70,29,173
E01015101,7,9,20,85,81,202
E01015102,14,33,34,69,45,195
E01015103,12,24,29,75,32,172
E01015104,10,14,29,74,46,173
E01015105,9,22,30,76,40,177
E01015106,8,21,18,65,46,158
E01015107,14,28,23,80,31,176
E01015108,12,41,28,76,55,212
E01015109,13,22,21,85,38,179
E01015110,10,11,26,84,46,177
E01015111,13,35,30,72,37,187
E01015112,12,21,27,73,50,183
E01015113,10,18,23,79,68,198
E01015114,8,14,24,77,65,188
E01015115,7,17,19,83,92,218
E01015116,9,22,19,73,58,181
E01015117,10,20,26,85,53,194
E01015118,10,17,32,77,67,203
E01015119,12,23,32,79,47,193
E01015120,12,16,27,85,63,203
E01015121,10,9,23,69,88,199
E01015122,11,18,23,70,72,194
E01015123,10,15,20,85,117,247
E01015124,8,17,21,79,82,207
E01015125,9,16,25,78,71,199
E01015126,8,11,18,61,100,198
E01015127,11,15,20,68,82,196
E01015128,12,16,20,83,92,223
E01015129,12,26,31,74,40,183
E01015130,12,24,25,79,41,181
E01015131,7,8,18,73,101,207
E01015132,9,13,23,78,78,201
E01015133,10,10,17,77,92,206
E01015134,11,21,22,75,72,201
E01015135,15,26,29,84,61,215
E01015136,11,12,21,76,61,181
E01015137,12,20,27,94,58,211
E01015138,10,13,31,91,87,232
E01015139,8,14,18,69,64,173
E01015140,5,21,14,51,87,178
E01015141,9,11,26,94,90,230
E01015142,11,24,20,87,48,190
E01015143,10,25,20,71,60,186
E01015144,14,26,31,71,41,183
E01015145,24,58,32,65,7,186
E01015146,19,38,43,76,27,203
E01015147,9,16,20,64,61,170
E01015148,13,29,28,83,53,206
E01015149,15,24,18,75,48,180
E01015150,12,17,21,77,67,194
E01015151,36,30,29,61,26,182
E01015152,27,36,32,67,43,205
E01015153,18,32,25,69,44,188
E01015155,25,34,26,70,27,182
E01015156,41,22,13,61,33,170
E01015157,14,54,35,101,65,269
E01015158,26,51,29,100,98,304
E01015159,12,20,23,93,95,243
