Area,16 to 24,25 to 34,35 to 44,45 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,14,25,36,80,37,192
E01015024,10,17,26,85,39,177
E01015025,7,12,17,76,77,189
E01015026,11,41,31,70,31,184
E01015027,11,22,24,85,53,195
E01015028,9,28,22,59,33,151
E01015029,14,31,33,61,43,182
E01015030,13,27,31,79,40,190
E01015031,23,39,30,62,30,184
E01015032,79,55,31,54,28,247
E01015033,11,10,27,82,49,179
E01015034,8,10,19,63,52,152
E01015035,10,24,26,69,40,169
E01015036,6,10,28,67,52,163
E01015037,7,18,22,60,40,147
E01015038,13,19,31,83,47,193
E01015039,28,85,68,60,22,263
E01015040,5,12,23,73,29,142
E01015041,5,23,35,75,36,174
E01015042,13,33,37,70,24,177
E01015043,13,35,28,63,21,160
E01015044,11,43,32,69,39,194
E01015045,13,36,36,74,22,181
E01015046,16,34,37,93,46,226
E01015047,15,26,27,78,40,186
E01015048,17,38,49,78,29,211
E01015049,65,24,18,37,18,162
E01015050,104,37,16,32,22,211
E01015051,79,19,11,29,23,161
E01015052,73,35,30,43,17,198
E01015053,46,17,26,38,23,150
E01015054,91,11,14,28,17,161
E01015055,11,17,31,70,37,166
E01015056,10,30,29,91,55,215
E01015057,10,21,32,66,36,165
E01015058,15,25,30,56,31,157
E01015059,16,35,27,90,26,194
E01015060,14,29,33,64,42,182
E01015061,29,32,35,44,26,166
E01015062,67,36,30,39,19,191
E01015063,9,34,26,61,39,169
E01015064,8,12,28,75,76,199
E01015065,6,12,18,56,53,145
E01015066,8,17,29,68,43,165
E01015067,10,9,18,72,71,180
E01015068,10,21,33,64,50,178
E01015069,17,26,34,69,34,180
E01015070,15,43,57,114,56,285
E01015071,10,17,28,81,51,187
E01015072,12,26,29,77,31,175
E01015073,10,26,28,84,37,185
E01015074,13,23,27,66,46,175
E01015075,2,11,22,61,35,131
E01015076,7,23,25,73,39,167
E01015077,13,37,47,94,52,243
E01015078,11,27,29,67,37,171
E01015079,10,20,31,80,51,192
E01015080,12,11,14,29,9,75
E01015081,13,21,27,68,39,168
E01015082,14,30,27,79,44,194
E01015083,11,28,35,78,48,200
E01015084,11,18,28,69,54,180
E01015085,9,25,28,76,54,192
E01015086,9,22,21,53,43,148
E01015087,18,27,28,65,29,167
E01015088,12,26,29,53,26,146
E01015089,13,29,28,75,63,208
E01015090,8,14,21,68,52,163
E01015091,9,16,20,74,69,188
E01015092,27,23,28,45,34,157
E01015093,8,17,38,69,51,183
E01015094,11,19,21,63,48,162
E01015095,9,18,31,54,72,184
E01015096,12,15,23,58,49,157
E01015097,9,15,21,103,118,266
E01015098,13,25,44,63,36,181
E01015099,10,29,32,64,24,159
E01015100,15,24,31,69,23,162
E01015101,6,11,26,81,57,181
E01015102,9,35,42,83,42,211
E01015103,9,25,34,80,25,173
E01015104,9,15,25,80,43,172
E01015105,8,22,39,69,28,166
E01015106,8,17,22,58,43,148
E01015107,11,25,32,62,27,157
E01015108,10,30,34,68,39,181
E01015109,10,22,27,77,37,173
E01015110,11,18,31,83,48,191
E01015111,10,31,33,74,19,167
E01015112,6,22,33,68,44,173
E01015113,9,14,29,71,54,177
E01015114,9,17,26,79,43,174
E01015115,12,23,19,64,53,171
E01015116,10,16,23,70,52,171
E01015117,8,18,27,74,43,170
E01015118,7,16,35,69,48,175
E01015119,12,21,38,72,36,179
E01015120,9,14,27,77,58,185
E01015121,8,8,24,62,60,162
E01015122,12,20,25,68,55,180
E01015123,8,13,27,81,87,216
E01015124,8,17,30,65,65,185
E01015125,10,16,31,65,57,179
E01015126,5,8,18,59,72,162
E01015127,8,16,21,63,66,174
E01015128,10,19,20,77,64,190
E01015129,8,19,29,59,25,140
E01015130,12,17,29,71,36,165
E01015131,6,5,17,69,82,179
E01015132,10,13,19,70,55,167
E01015133,8,10,22,72,60,172
E01015134,9,18,23,59,43,152
E01015135,13,22,33,72,51,191
E01015136,9,16,19,77,44,165
E01015137,10,17,30,81,48,186
E01015138,8,10,35,98,72,223
E01015139,9,13,21,67,52,162
E01015140,5,17,18,48,62,150
E01015141,7,10,28,80,74,199
E01015142,9,24,22,88,40,183
E01015143,8,18,22,73,53,174
E01015144,13,29,35,66,29,172
E01015145,7,25,28,55,12,127
E01015146,15,31,37,75,28,186
E01015147,7,16,26,59,54,162
E01015148,17,30,29,68,32,176
E01015149,13,22,25,63,36,159
E01015150,9,20,26,94,50,199
E01015151,39,39,34,61,25,198
E01015152,27,39,42,78,46,232
E01015153,21,31,43,80,40,215
E01015155,21,44,38,83,41,227
E01015156,37,38,32,66,42,215
E01015157,21,72,57,125,66,341
E01015158,30,64,42,96,73,305
E01015159,11,20,22,89,62,204
