Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,29,53,65,162,93,402
E01015024,22,38,48,168,86,362
E01015025,15,27,36,152,178,408
E01015026,25,78,53,140,76,372
E01015027,24,42,50,180,109,405
E01015028,21,58,45,127,72,323
E01015029,29,76,73,144,92,414
E01015030,28,58,54,154,86,380
E01015031,52,72,51,120,79,374
E01015032,167,85,52,91,47,442
E01015033,22,19,49,165,108,363
E01015034,20,21,43,130,121,335
E01015035,22,42,51,153,95,363
E01015036,15,27,52,141,124,359
E01015037,15,41,47,134,99,336
E01015038,24,42,60,177,104,407
E01015039,39,111,90,104,49,393
E01015040,18,38,48,146,66,316
E01015041,20,59,64,154,68,365
E01015042,27,73,66,140,56,362
E01015043,31,67,52,122,46,318
E01015044,25,71,57,140,72,365
E01015045,29,73,57,137,53,349
E01015046,31,69,65,160,98,423
E01015047,32,65,57,167,83,404
E01015048,41,91,80,145,56,413
E01015049,113,46,36,73,42,310
E01015050,212,72,31,52,43,410
E01015051,173,32,21,56,49,331
E01015052,147,64,53,85,44,393
E01015053,99,40,37,72,39,287
E01015054,229,27,24,52,29,361
E01015055,25,39,58,147,81,350
E01015056,24,66,50,183,118,441
E01015057,27,52,63,130,80,352
E01015058,36,53,58,133,67,347
E01015059,29,67,66,166,66,394
E01015060,36,54,63,136,89,378
E01015061,61,64,64,97,55,341
E01015062,146,65,49,79,40,379
E01015063,24,69,47,138,90,368
E01015064,18,22,45,167,159,411
E01015065,14,32,38,116,122,322
E01015066,16,34,51,143,100,344
E01015067,18,19,35,152,155,379
E01015068,22,46,60,140,106,374
E01015069,35,52,63,144,92,386
E01015070,32,86,105,241,116,580
E01015071,22,37,58,161,125,403
E01015072,26,51,50,157,75,359
E01015073,19,50,49,171,86,375
E01015074,23,49,50,140,106,368
E01015075,18,32,45,138,91,324
E01015076,18,44,49,148,81,340
E01015077,31,79,82,203,129,524
E01015078,24,59,57,144,81,365
E01015079,22,41,59,159,117,398
E01015080,18,27,29,59,24,157
E01015081,26,47,53,145,92,363
E01015082,28,50,48,168,105,399
E01015083,27,47,60,154,104,392
E01015084,24,32,55,153,116,380
E01015085,22,46,52,164,137,421
E01015086,20,44,41,120,108,333
E01015087,38,44,63,140,62,347
E01015088,34,62,55,115,58,324
E01015089,26,60,54,155,143,438
E01015090,16,30,43,145,104,338
E01015091,20,26,36,171,141,394
E01015092,66,57,56,109,78,366
E01015093,14,34,65,157,112,382
E01015094,24,40,42,136,108,350
E01015095,20,39,51,126,157,393
E01015096,22,31,54,134,109,350
E01015097,20,26,40,213,253,552
E01015098,27,54,77,135,78,371
E01015099,23,57,65,135,60,340
E01015100,32,55,57,139,52,335
E01015101,13,20,46,166,138,383
E01015102,23,68,76,152,87,406
E01015103,21,49,63,155,57,345
E01015104,19,29,54,154,89,345
E01015105,17,44,69,145,68,343
E01015106,16,38,40,123,89,306
E01015107,25,53,55,142,58,333
E01015108,22,71,62,144,94,393
E01015109,23,44,48,162,75,352
E01015110,21,29,57,167,94,368
E01015111,23,66,63,146,56,354
E01015112,18,43,60,141,94,356
E01015113,19,32,52,150,122,375
E01015114,17,31,50,156,108,362
E01015115,19,40,38,147,145,389
E01015116,19,38,42,143,110,352
E01015117,18,38,53,159,96,364
E01015118,17,33,67,146,115,378
E01015119,24,44,70,151,83,372
E01015120,21,30,54,162,121,388
E01015121,18,17,47,131,148,361
E01015122,23,38,48,138,127,374
E01015123,18,28,47,166,204,463
E01015124,16,34,51,144,147,392
E01015125,19,32,56,143,128,378
E01015126,13,19,36,120,172,360
E01015127,19,31,41,131,148,370
E01015128,22,35,40,160,156,413
E01015129,20,45,60,133,65,323
E01015130,24,41,54,150,77,346
E01015131,13,13,35,142,183,386
E01015132,19,26,42,148,133,368
E01015133,18,20,39,149,152,378
E01015134,20,39,45,134,115,353
E01015135,28,48,62,156,112,406
E01015136,20,28,40,153,105,346
E01015137,22,37,57,175,106,397
E01015138,18,23,66,189,159,455
E01015139,17,27,39,136,116,335
E01015140,10,38,32,99,149,328
E01015141,16,21,54,174,164,429
E01015142,20,48,42,175,88,373
E01015143,18,43,42,144,113,360
E01015144,27,55,66,137,70,355
E01015145,31,83,60,120,19,313
E01015146,34,69,80,151,55,389
E01015147,16,32,46,123,115,332
E01015148,30,59,57,151,85,382
E01015149,28,46,43,138,84,339
E01015150,21,37,47,171,117,393
E01015151,75,69,63,122,51,380
E01015152,54,75,74,145,89,437
E01015153,39,63,68,149,84,403
E01015155,46,78,64,153,68,409
E01015156,78,60,45,127,75,385
E01015157,35,126,92,226,131,610
E01015158,56,115,71,196,171,609
E01015159,23,40,45,182,157,447
