Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,43,45,35,56,55,376
E01015024,41,37,26,54,48,348
E01015025,53,47,32,43,52,394
E01015026,38,47,26,46,61,340
E01015027,40,36,32,58,60,377
E01015028,28,51,24,41,58,307
E01015029,32,63,39,56,52,361
E01015030,35,45,29,47,56,344
E01015031,41,45,30,48,52,314
E01015032,80,39,23,111,50,397
E01015033,38,30,31,57,46,358
E01015034,42,34,40,42,40,322
E01015035,42,39,29,55,54,347
E01015036,37,44,45,46,42,347
E01015037,34,49,26,45,48,314
E01015038,36,44,39,64,55,393
E01015039,24,46,24,68,102,402
E01015040,35,36,25,44,38,290
E01015041,25,44,28,45,48,309
E01015042,26,50,27,51,45,309
E01015043,30,39,26,49,50,298
E01015044,33,39,26,47,65,333
E01015045,32,53,24,44,61,331
E01015046,36,55,29,49,57,378
E01015047,41,49,34,56,56,361
E01015048,38,60,28,52,52,364
E01015049,60,34,20,96,38,318
E01015050,98,42,18,113,35,363
E01015051,113,22,14,124,25,356
E01015052,80,42,28,106,52,389
E01015053,54,27,13,72,27,267
E01015054,127,20,11,119,18,342
E01015055,33,36,31,44,50,321
E01015056,38,60,28,44,63,381
E01015057,34,44,37,43,45,321
E01015058,37,42,29,55,50,313
E01015059,32,44,36,51,54,341
E01015060,46,32,31,45,53,321
E01015061,41,37,31,51,43,290
E01015062,85,40,21,112,43,386
E01015063,34,49,25,41,56,313
E01015064,45,47,30,48,58,397
E01015065,40,48,28,36,37,302
E01015066,42,31,28,43,52,329
E01015067,51,36,26,49,49,364
E01015068,39,45,32,48,51,350
E01015069,40,44,31,48,56,335
E01015070,53,67,55,81,86,553
E01015071,42,40,35,43,47,345
E01015072,34,44,25,50,59,329
E01015073,32,44,22,49,57,337
E01015074,39,46,27,46,52,334
E01015075,38,41,27,36,37,283
E01015076,32,35,30,42,54,325
E01015077,48,57,38,59,61,414
E01015078,31,49,28,48,54,326
E01015079,39,41,34,43,57,355
E01015080,14,20,14,33,19,151
E01015081,35,42,32,53,48,325
E01015082,41,39,26,53,64,354
E01015083,40,40,31,43,61,358
E01015084,39,31,31,46,50,322
E01015085,46,50,27,48,54,361
E01015086,43,37,25,40,49,302
E01015087,34,30,36,59,51,320
E01015088,41,46,28,44,44,298
E01015089,50,47,30,45,59,372
E01015090,36,27,27,36,58,316
E01015091,51,23,26,46,72,376
E01015092,62,41,33,59,57,350
E01015093,35,29,27,28,76,331
E01015094,40,33,25,35,57,303
E01015095,60,33,24,38,46,332
E01015096,42,33,34,42,52,322
E01015097,82,50,27,54,68,500
E01015098,33,47,37,51,47,340
E01015099,36,40,38,50,51,322
E01015100,34,45,30,59,45,326
E01015101,41,37,44,50,45,371
E01015102,34,51,35,45,62,381
E01015103,28,38,32,50,52,327
E01015104,34,32,35,51,40,334
E01015105,29,37,41,48,51,335
E01015106,34,34,23,39,43,289
E01015107,33,39,25,51,53,317
E01015108,37,66,35,47,66,381
E01015109,34,35,26,49,66,340
E01015110,40,30,26,57,52,364
E01015111,37,46,33,47,57,337
E01015112,31,43,37,43,48,335
E01015113,43,45,26,49,47,351
E01015114,38,37,33,48,47,340
E01015115,35,50,31,44,53,327
E01015116,39,36,24,49,46,331
E01015117,42,35,30,46,61,346
E01015118,42,41,42,50,47,366
E01015119,36,37,38,55,50,352
E01015120,48,32,36,48,48,364
E01015121,49,46,28,40,41,345
E01015122,42,42,35,49,49,357
E01015123,53,53,48,48,52,427
E01015124,40,49,31,46,49,365
E01015125,49,37,27,49,51,354
E01015126,48,51,31,36,35,339
E01015127,50,40,31,45,46,352
E01015128,59,46,26,48,52,382
E01015129,30,43,34,41,53,310
E01015130,35,37,28,60,43,336
E01015131,58,37,32,41,42,372
E01015132,45,46,30,48,48,351
E01015133,55,46,24,50,45,367
E01015134,33,55,35,46,46,332
E01015135,45,36,38,52,53,364
E01015136,37,35,31,48,42,322
E01015137,42,33,30,53,56,353
E01015138,53,35,36,44,52,399
E01015139,40,33,29,41,45,317
E01015140,43,57,29,27,44,324
E01015141,57,43,34,54,51,412
E01015142,31,40,21,42,59,323
E01015143,36,40,21,35,46,304
E01015144,31,39,36,43,55,320
E01015145,32,66,32,42,48,300
E01015146,35,48,43,49,60,361
E01015147,32,37,25,35,38,285
E01015148,34,46,28,54,58,334
E01015149,36,43,21,53,47,310
E01015150,38,42,24,36,53,338
E01015151,49,40,28,89,58,373
E01015152,50,46,31,65,59,392
E01015153,31,47,30,54,58,362
E01015155,34,47,28,57,66,382
E01015156,61,35,16,68,64,371
E01015157,42,77,38,69,116,557
E01015158,65,85,34,73,103,539
E01015159,43,58,28,42,59,374
