Area,16 to 24,25 to 34,35 to 44,45 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,27,31,22,64,96,240
E01015024,23,25,18,67,75,208
E01015025,16,18,16,64,200,314
E01015026,24,41,17,54,74,210
E01015027,24,23,21,77,96,241
E01015028,21,34,18,55,70,198
E01015029,24,46,29,61,78,238
E01015030,27,35,18,59,78,217
E01015031,46,34,15,43,96,234
E01015032,139,30,16,27,39,251
E01015033,23,11,19,70,111,234
E01015034,24,14,20,56,140,254
E01015035,23,21,20,67,96,227
E01015036,17,20,20,60,156,273
E01015037,15,27,21,60,102,225
E01015038,20,27,24,74,106,251
E01015039,20,30,18,36,44,148
E01015040,23,29,19,57,57,185
E01015041,23,37,21,58,49,188
E01015042,22,41,21,51,48,183
E01015043,32,36,19,45,44,176
E01015044,26,31,19,56,60,192
E01015045,29,41,16,49,51,186
E01015046,27,39,22,52,92,232
E01015047,30,43,24,70,65,232
E01015048,42,59,24,51,39,215
E01015049,91,26,15,30,45,207
E01015050,171,36,11,15,44,277
E01015051,178,15,8,21,45,267
E01015052,132,33,18,34,50,267
E01015053,94,25,8,27,31,185
E01015054,219,16,8,18,20,281
E01015055,25,25,21,62,76,209
E01015056,22,36,16,70,109,253
E01015057,30,35,24,50,91,230
E01015058,37,31,22,60,55,205
E01015059,21,33,28,56,59,197
E01015060,34,26,21,53,68,202
E01015061,50,33,21,39,48,191
E01015062,149,34,15,32,41,271
E01015063,23,36,15,57,85,216
E01015064,20,12,15,78,168,293
E01015065,15,23,16,49,130,233
E01015066,15,19,18,61,90,203
E01015067,16,12,14,67,155,264
E01015068,23,29,21,63,97,233
E01015069,28,27,21,56,95,227
E01015070,33,50,38,102,98,321
E01015071,18,20,22,60,120,240
E01015072,25,27,17,63,78,210
E01015073,16,27,16,69,82,210
E01015074,17,29,18,58,99,221
E01015075,29,24,18,60,99,230
E01015076,20,24,19,60,77,200
E01015077,29,43,25,81,132,310
E01015078,24,36,22,61,81,224
E01015079,22,25,23,65,117,252
E01015080,10,18,12,23,23,86
E01015081,22,28,20,60,93,223
E01015082,26,22,16,70,103,237
E01015083,29,21,20,62,100,232
E01015084,21,14,19,64,97,215
E01015085,20,21,17,66,138,262
E01015086,19,25,16,53,109,222
E01015087,35,19,27,58,56,195
E01015088,39,40,20,48,47,194
E01015089,20,31,19,60,126,256
E01015090,14,18,18,64,83,197
E01015091,21,11,13,81,122,248
E01015092,74,39,23,53,76,265
E01015093,9,17,19,71,87,203
E01015094,21,22,15,56,90,204
E01015095,17,21,15,55,118,226
E01015096,18,18,24,61,91,212
E01015097,21,13,15,90,225,364
E01015098,27,33,27,57,78,222
E01015099,24,32,26,57,56,195
E01015100,33,36,21,54,50,194
E01015101,14,12,16,71,187,300
E01015102,26,39,27,56,79,227
E01015103,23,28,24,60,56,191
E01015104,21,17,25,60,88,211
E01015105,19,26,25,63,84,217
E01015106,16,24,15,52,78,185
E01015107,26,33,19,64,48,190
E01015108,22,48,23,62,94,249
E01015109,24,26,17,70,61,198
E01015110,20,14,22,70,74,200
E01015111,24,41,25,57,55,202
E01015112,23,25,22,59,96,225
E01015113,19,20,19,63,120,241
E01015114,15,16,20,62,121,234
E01015115,11,17,13,63,173,277
E01015116,17,25,16,58,98,214
E01015117,20,23,21,70,82,216
E01015118,20,20,27,64,128,259
E01015119,22,27,26,63,72,210
E01015120,23,19,21,69,106,238
E01015121,20,11,19,57,159,266
E01015122,21,21,19,57,138,256
E01015123,19,17,16,68,259,379
E01015124,14,20,17,64,162,277
E01015125,18,19,20,64,112,233
E01015126,17,13,15,51,208,304
E01015127,20,17,16,55,144,252
E01015128,23,19,16,68,161,287
E01015129,23,30,25,60,78,216
E01015130,25,30,21,66,61,203
E01015131,14,9,15,61,190,289
E01015132,17,16,18,64,150,265
E01015133,19,12,15,65,168,279
E01015134,20,24,17,60,155,276
E01015135,28,31,23,68,111,261
E01015136,20,14,17,61,115,227
E01015137,22,23,22,76,95,238
E01015138,18,15,25,73,139,270
E01015139,16,17,15,56,119,223
E01015140,10,25,12,44,174,265
E01015141,19,14,21,79,157,290
E01015142,18,25,15,66,79,203
E01015143,17,25,15,54,90,201
E01015144,24,28,24,57,72,205
E01015145,44,65,25,49,11,194
E01015146,34,42,34,61,39,210
E01015147,15,17,15,48,105,200
E01015148,20,30,20,62,85,217
E01015149,26,27,14,58,81,206
E01015150,19,18,15,59,109,220
E01015151,63,34,22,48,46,213
E01015152,49,40,25,52,70,236
E01015153,32,35,20,56,85,228
E01015155,45,38,20,54,46,203
E01015156,73,25,10,49,52,209
E01015157,25,60,27,81,118,311
E01015158,47,56,23,81,171,378
E01015159,19,21,17,71,164,292
