Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,37,59,12,19,21,171
E01015024,37,36,9,12,16,152
E01015025,58,130,7,8,10,216
E01015026,31,42,9,28,18,148
E01015027,35,63,10,14,15,179
E01015028,20,53,9,19,11,130
E01015029,25,53,10,18,19,150
E01015030,28,51,11,18,18,156
E01015031,21,77,15,24,14,140
E01015032,9,34,57,29,17,174
E01015033,34,73,11,6,15,174
E01015034,37,108,7,7,10,151
E01015035,38,55,10,17,17,150
E01015036,36,131,6,8,17,153
E01015037,34,68,7,13,13,134
E01015038,32,76,12,16,19,177
E01015039,18,28,29,63,42,206
E01015040,26,29,5,9,14,122
E01015041,16,30,5,17,17,132
E01015042,18,25,9,19,20,127
E01015043,14,25,11,23,15,122
E01015044,22,35,10,27,17,151
E01015045,19,35,11,25,21,139
E01015046,28,59,12,23,19,179
E01015047,32,34,12,18,15,143
E01015048,21,13,14,26,26,157
E01015049,14,28,50,16,11,134
E01015050,8,36,63,22,7,144
E01015051,18,25,67,11,6,138
E01015052,12,41,56,22,17,151
E01015053,6,26,35,10,13,114
E01015054,8,13,66,7,8,119
E01015055,28,45,9,11,18,139
E01015056,33,81,6,18,16,178
E01015057,21,60,7,14,18,134
E01015058,24,31,12,17,15,126
E01015059,27,34,12,20,16,138
E01015060,34,30,10,19,18,142
E01015061,15,34,17,18,19,115
E01015062,12,31,58,21,19,157
E01015063,29,55,7,21,14,140
E01015064,45,126,8,10,15,213
E01015065,40,95,6,9,11,144
E01015066,45,40,7,12,17,148
E01015067,54,93,10,7,11,200
E01015068,36,58,10,15,21,164
E01015069,32,63,11,17,18,143
E01015070,45,52,14,30,37,242
E01015071,43,77,7,10,15,159
E01015072,24,51,11,17,15,139
E01015073,28,54,8,17,15,154
E01015074,38,63,11,16,16,154
E01015075,30,71,2,7,11,111
E01015076,24,51,7,15,17,150
E01015077,42,99,9,19,22,184
E01015078,23,53,10,18,17,144
E01015079,37,79,8,14,15,161
E01015080,12,12,9,7,9,59
E01015081,29,61,11,14,15,140
E01015082,35,59,11,21,14,159
E01015083,31,67,9,17,17,172
E01015084,36,59,9,12,13,157
E01015085,44,98,6,16,16,165
E01015086,43,64,7,14,13,135
E01015087,21,37,15,18,15,132
E01015088,23,25,10,16,17,115
E01015089,48,70,8,19,15,175
E01015090,38,40,7,10,13,153
E01015091,51,63,8,11,12,182
E01015092,24,41,21,16,15,132
E01015093,39,45,6,11,20,150
E01015094,35,49,7,12,12,141
E01015095,67,50,7,12,17,162
E01015096,43,53,9,10,14,140
E01015097,93,126,7,11,13,275
E01015098,26,52,11,18,25,153
E01015099,26,31,9,20,20,127
E01015100,22,33,14,18,19,131
E01015101,42,143,6,7,17,182
E01015102,28,49,8,24,26,181
E01015103,20,37,8,18,21,138
E01015104,30,59,8,10,15,157
E01015105,23,63,8,15,22,144
E01015106,31,47,7,12,16,137
E01015107,23,24,10,17,19,129
E01015108,32,56,9,23,20,157
E01015109,27,35,9,18,18,147
E01015110,38,37,9,14,20,183
E01015111,29,26,8,23,20,125
E01015112,25,76,6,15,18,160
E01015113,42,74,8,10,17,166
E01015114,39,80,8,12,17,156
E01015115,38,135,9,13,10,157
E01015116,39,55,9,11,13,161
E01015117,39,38,8,15,15,149
E01015118,41,85,8,10,22,171
E01015119,32,37,11,14,24,146
E01015120,44,63,8,8,17,173
E01015121,52,105,6,6,15,173
E01015122,41,93,11,14,16,176
E01015123,56,190,6,11,16,223
E01015124,44,117,7,11,17,191
E01015125,50,61,9,11,17,169
E01015126,52,152,4,6,11,189
E01015127,50,90,8,10,13,175
E01015128,60,98,8,13,13,188
E01015129,22,48,6,15,17,119
E01015130,30,32,11,12,20,146
E01015131,67,122,6,3,11,210
E01015132,46,106,9,10,13,169
E01015133,59,107,8,8,13,189
E01015134,30,127,8,13,16,149
E01015135,38,69,12,12,19,166
E01015136,32,84,8,11,12,155
E01015137,42,52,8,12,15,161
E01015138,59,69,6,7,19,204
E01015139,41,77,8,11,13,159
E01015140,48,127,6,12,11,168
E01015141,61,95,7,10,17,206
E01015142,28,48,8,15,13,146
E01015143,36,55,6,12,12,148
E01015144,22,43,10,19,20,141
E01015145,6,6,5,23,18,94
E01015146,21,21,12,19,20,145
E01015147,32,79,5,10,13,144
E01015148,29,53,12,19,17,135
E01015149,30,55,11,14,15,131
E01015150,36,77,7,13,15,164
E01015151,13,30,37,24,20,160
E01015152,29,42,22,26,20,184
E01015153,19,65,18,20,24,171
E01015155,14,34,16,30,21,183
E01015156,22,33,30,26,18,179
E01015157,35,67,17,50,31,273
E01015158,54,115,24,41,23,267
E01015159,43,122,7,13,13,178
