Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,38,48,42,121,153,402
E01015024,32,38,33,129,129,361
E01015025,22,27,26,123,326,524
E01015026,32,69,34,104,116,355
E01015027,33,39,35,139,173,419
E01015028,28,53,31,97,116,325
E01015029,34,66,47,103,139,389
E01015030,37,54,36,114,136,377
E01015031,62,59,31,84,138,374
E01015032,193,65,33,61,76,428
E01015033,33,18,35,130,190,406
E01015034,32,21,31,103,225,412
E01015035,32,38,35,117,153,375
E01015036,22,27,37,108,230,424
E01015037,21,40,34,104,162,361
E01015038,31,41,42,134,177,425
E01015039,44,91,58,79,74,346
E01015040,27,37,32,109,101,306
E01015041,27,52,40,109,96,324
E01015042,31,62,41,97,80,311
E01015043,42,60,35,90,73,300
E01015044,35,61,37,104,112,349
E01015045,40,65,37,102,85,329
E01015046,40,62,43,119,153,417
E01015047,42,61,39,126,116,384
E01015048,56,85,52,105,78,376
E01015049,147,43,26,57,72,345
E01015050,242,59,20,37,77,435
E01015051,245,29,14,42,79,409
E01015052,190,57,35,65,75,422
E01015053,130,36,23,54,61,304
E01015054,281,23,16,37,42,399
E01015055,34,36,39,113,129,351
E01015056,29,55,31,133,190,438
E01015057,38,50,42,96,143,369
E01015058,49,48,39,99,100,335
E01015059,32,55,43,114,92,336
E01015060,44,44,38,96,123,345
E01015061,70,53,39,68,83,313
E01015062,206,60,32,60,68,426
E01015063,29,57,29,98,142,355
E01015064,28,21,32,135,291,507
E01015065,20,32,26,89,212,379
E01015066,22,31,35,111,151,350
E01015067,25,18,25,122,270,460
E01015068,32,44,40,110,174,400
E01015069,39,43,39,104,142,367
E01015070,46,81,71,185,182,565
E01015071,25,31,37,114,190,397
E01015072,34,45,34,118,123,354
E01015073,24,45,32,129,136,366
E01015074,27,45,33,105,167,377
E01015075,31,32,30,102,148,343
E01015076,26,40,34,113,136,349
E01015077,38,66,50,144,210,508
E01015078,33,54,38,110,138,373
E01015079,30,39,41,123,190,423
E01015080,19,26,20,43,35,143
E01015081,32,43,35,108,150,368
E01015082,37,43,31,126,163,400
E01015083,38,40,40,118,171,407
E01015084,29,25,34,112,172,372
E01015085,26,37,32,117,212,424
E01015086,26,40,28,91,172,357
E01015087,49,37,43,102,98,329
E01015088,48,58,37,85,84,312
E01015089,29,49,34,109,211,432
E01015090,21,28,31,116,156,352
E01015091,28,23,24,137,216,428
E01015092,97,56,39,86,122,400
E01015093,15,27,39,120,152,353
E01015094,28,34,26,100,153,341
E01015095,23,32,31,91,213,390
E01015096,27,28,37,103,158,353
E01015097,28,24,28,167,402,649
E01015098,38,51,53,102,135,379
E01015099,33,53,45,103,92,326
E01015100,46,53,39,102,84,324
E01015101,20,20,32,131,281,484
E01015102,33,64,52,116,144,409
E01015103,30,46,44,117,92,329
E01015104,29,28,40,120,154,371
E01015105,26,43,49,115,127,360
E01015106,23,36,28,94,140,321
E01015107,35,51,38,109,86,319
E01015108,31,69,43,112,151,406
E01015109,33,42,33,126,115,349
E01015110,30,28,40,132,148,378
E01015111,33,63,45,108,80,329
E01015112,28,41,41,108,170,388
E01015113,27,30,36,114,201,408
E01015114,22,28,35,120,188,393
E01015115,19,31,23,107,255,435
E01015116,25,37,29,109,173,373
E01015117,27,36,37,126,142,368
E01015118,27,32,48,115,208,430
E01015119,33,42,48,116,121,360
E01015120,30,29,37,125,190,411
E01015121,27,17,34,103,255,436
E01015122,31,35,34,106,224,430
E01015123,26,27,32,127,401,613
E01015124,20,32,35,111,266,464
E01015125,26,31,38,110,196,401
E01015126,22,19,26,96,329,492
E01015127,27,29,28,100,245,429
E01015128,31,32,28,126,260,477
E01015129,30,44,42,103,113,332
E01015130,36,43,39,119,116,353
E01015131,20,13,26,114,326,499
E01015132,26,26,29,113,240,434
E01015133,26,20,28,121,269,464
E01015134,28,37,31,103,225,424
E01015135,39,47,42,120,186,434
E01015136,28,26,28,117,187,386
E01015137,31,36,40,135,167,409
E01015138,25,22,45,148,249,489
E01015139,24,26,27,105,200,382
E01015140,15,38,23,80,274,430
E01015141,26,22,38,139,270,495
E01015142,24,40,27,127,129,347
E01015143,23,36,27,104,163,353
E01015144,35,48,44,104,114,345
E01015145,49,82,41,86,29,287
E01015146,46,63,55,114,80,358
E01015147,20,27,29,88,180,344
E01015148,31,49,35,108,126,349
E01015149,36,42,28,102,130,338
E01015150,25,31,29,124,176,385
E01015151,94,61,41,90,81,367
E01015152,70,67,49,107,134,427
E01015153,48,56,44,115,142,405
E01015155,61,68,42,112,104,387
E01015156,102,51,28,96,110,387
E01015157,41,109,59,171,213,593
E01015158,71,100,47,150,287,655
E01015159,26,33,29,130,255,473
