Area,Label,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 and over,,
E92000001,England,,,,,,,,,,,,,,,,,,,,
E12000009,South West,,,,,,,,,,,,,,,,,,,,
E01015023,Plymouth 003A,59,58,74,57,36,51,73,56,54,85,49,55,48,38,35,21,16,25,,Western
E01015024,Plymouth 004A,36,23,22,32,43,58,42,40,47,62,63,62,38,58,36,33,7,14,,Western
E01015025,Plymouth 001A,30,46,39,27,26,39,31,33,43,44,62,64,54,71,75,73,58,51,,Western
E01015026,Plymouth 003B,72,68,28,34,58,75,75,39,46,53,53,50,28,28,39,23,13,21,,Western
E01015027,Plymouth 002A,42,45,52,45,46,18,60,48,51,61,84,71,66,58,39,35,27,21,,Western
E01015028,Plymouth 003C,57,49,33,35,39,57,65,48,33,44,42,53,38,33,21,18,24,12,,Western
E01015029,Plymouth 008A,76,91,69,60,39,71,95,82,52,72,57,55,34,39,23,30,24,18,,Western
E01015030,Plymouth 007A,49,56,53,40,39,57,75,47,42,54,53,54,47,36,35,20,40,26,,Western
E01015031,Plymouth 023A,32,26,37,21,109,75,62,41,32,52,30,42,25,25,22,20,27,55,,Western
E01015032,Plymouth 023B,21,27,27,80,360,80,45,42,27,35,36,20,19,5,9,6,14,16,,Western
E01015033,Plymouth 016A,29,49,32,58,36,17,23,46,47,58,76,62,51,42,43,27,35,33,,Western
E01015034,Plymouth 016B,23,42,50,45,33,24,33,42,47,60,60,47,35,52,46,33,36,64,,Western
E01015035,Plymouth 012A,46,25,33,42,40,32,34,40,45,77,54,65,35,50,51,29,22,19,,Western
E01015036,Plymouth 016C,36,54,42,45,19,35,45,39,45,79,52,42,54,37,49,36,47,67,,Western
E01015037,Plymouth 012B,41,49,38,34,30,63,40,50,51,39,78,68,33,45,50,53,38,18,,Western
E01015038,Plymouth 016D,33,52,54,56,41,51,57,55,52,82,85,52,48,52,38,32,28,36,,Western
