Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,22,28,47,33,19,149
E01015024,16,20,25,22,11,94
E01015025,6,9,9,10,9,43
E01015026,22,33,33,29,17,134
E01015027,20,15,27,29,13,104
E01015028,18,27,30,29,15,119
E01015029,21,33,42,26,13,135
E01015030,20,30,34,34,21,139
E01015031,28,27,26,17,12,110
E01015032,94,25,21,14,4,158
E01015033,9,5,11,10,5,40
E01015034,8,7,11,8,6,40
E01015035,13,11,19,14,8,65
E01015036,10,13,20,13,9,65
E01015037,13,20,24,24,14,95
E01015038,16,18,23,17,8,82
E01015039,16,29,19,14,6,84
E01015040,19,26,41,29,17,132
E01015041,16,28,31,24,10,109
E01015042,16,29,31,22,9,107
E01015043,22,30,35,27,10,124
E01015044,21,26,35,28,13,123
E01015045,23,36,27,27,11,124
E01015046,26,36,40,28,21,151
E01015047,24,40,46,42,19,171
E01015048,41,54,50,26,15,186
E01015049,64,20,15,10,5,114
E01015050,125,25,15,7,7,179
E01015051,129,13,11,6,6,165
E01015052,111,28,28,16,11,194
E01015053,88,20,18,14,4,144
E01015054,180,16,10,8,5,219
E01015055,19,18,37,35,19,128
E01015056,17,29,25,31,19,121
E01015057,27,29,40,27,16,139
E01015058,29,25,37,32,17,140
E01015059,20,24,40,28,12,124
E01015060,28,19,31,24,16,118
E01015061,41,26,27,17,8,119
E01015062,112,26,18,10,5,171
E01015063,14,28,29,27,15,113
E01015064,7,5,9,11,7,39
E01015065,8,15,13,13,10,59
E01015066,11,12,16,14,9,62
E01015067,6,5,9,9,7,36
E01015068,14,18,19,13,9,73
E01015069,19,19,31,25,16,110
E01015070,25,38,48,35,14,160
E01015071,14,15,33,26,21,109
E01015072,23,24,34,35,17,133
E01015073,17,22,31,39,20,129
E01015074,17,24,32,35,25,133
E01015075,22,21,34,36,22,135
E01015076,17,16,26,19,8,86
E01015077,22,42,41,40,21,166
E01015078,25,30,36,33,20,144
E01015079,16,21,28,23,14,102
E01015080,10,21,20,16,9,76
E01015081,21,23,37,30,23,134
E01015082,22,23,34,44,27,150
E01015083,22,19,26,36,25,128
E01015084,16,13,27,30,17,103
E01015085,17,17,26,33,21,114
E01015086,15,18,26,31,28,118
E01015087,30,20,43,33,17,143
E01015088,34,35,35,26,13,143
E01015089,17,25,30,28,25,125
E01015090,8,11,16,15,8,58
E01015091,13,10,20,26,16,85
E01015092,61,34,32,17,10,154
E01015093,9,15,25,31,19,99
E01015094,16,18,22,26,19,101
E01015095,14,15,25,23,27,104
E01015096,18,13,41,36,26,134
E01015097,12,9,16,23,20,80
E01015098,19,21,23,13,7,83
E01015099,13,19,25,12,5,74
E01015100,21,19,20,12,4,76
E01015101,7,6,12,10,7,42
E01015102,22,27,33,18,9,109
E01015103,12,19,23,13,5,72
E01015104,9,9,12,9,4,43
E01015105,6,13,13,9,3,44
E01015106,11,17,18,16,9,71
E01015107,17,27,28,18,6,96
E01015108,11,28,19,14,7,79
E01015109,19,18,23,22,9,91
E01015110,7,8,12,11,4,42
E01015111,16,25,21,13,5,80
E01015112,13,14,19,15,7,68
E01015113,12,13,17,15,10,67
E01015114,7,10,16,16,8,57
E01015115,7,13,23,26,24,93
E01015116,15,17,23,19,13,87
E01015117,11,14,20,15,8,68
E01015118,6,9,13,8,6,42
E01015119,13,18,22,16,6,75
E01015120,14,12,20,17,10,73
E01015121,8,5,11,8,8,40
E01015122,12,14,18,13,10,67
E01015123,15,14,24,23,23,99
E01015124,9,12,16,14,11,62
E01015125,10,12,18,14,11,65
E01015126,8,4,9,7,8,36
E01015127,13,11,16,14,12,66
E01015128,14,14,15,17,13,73
E01015129,19,19,28,20,7,93
E01015130,10,15,12,9,4,50
E01015131,5,5,9,9,9,37
E01015132,13,12,22,24,16,87
E01015133,6,6,10,9,7,38
E01015134,11,16,18,12,9,66
E01015135,24,26,34,25,13,122
E01015136,17,12,25,22,12,88
E01015137,13,13,23,16,9,74
E01015138,12,11,23,18,13,77
E01015139,13,12,22,17,14,78
E01015140,4,12,7,6,7,36
E01015141,6,7,13,11,8,45
E01015142,14,19,25,31,14,103
E01015143,12,20,22,25,19,98
E01015144,17,23,41,32,16,129
E01015145,35,46,41,19,4,145
E01015146,29,43,57,36,13,178
E01015147,13,14,21,25,19,92
E01015148,16,21,32,28,17,114
E01015149,24,24,31,33,21,133
E01015150,15,13,25,27,20,100
E01015151,58,27,33,26,9,153
E01015152,45,36,42,28,17,168
E01015153,25,32,40,34,19,150
E01015155,37,34,40,32,9,152
E01015156,74,23,23,29,16,165
E01015157,23,51,47,51,28,200
E01015158,39,52,37,46,41,215
E01015159,14,15,23,35,23,110
