Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,40,50,66,53,23,232
E01015024,18,19,26,27,9,100
E01015025,11,14,15,16,11,66
E01015026,29,74,56,47,20,227
E01015027,20,22,27,25,11,106
E01015028,31,51,40,44,20,185
E01015029,30,40,46,32,17,165
E01015030,38,49,60,51,23,221
E01015031,44,54,37,32,13,179
E01015032,164,66,45,26,12,312
E01015033,18,10,22,17,7,74
E01015034,11,11,14,13,6,57
E01015035,14,22,21,13,6,76
E01015036,9,11,19,13,7,59
E01015037,13,19,21,18,9,80
E01015038,18,21,23,18,6,86
E01015039,56,98,53,17,5,229
E01015040,17,25,52,47,17,157
E01015041,15,38,46,37,15,151
E01015042,28,44,50,38,10,169
E01015043,38,61,54,42,13,209
E01015044,33,73,57,44,25,232
E01015045,37,68,61,49,13,228
E01015046,39,61,60,63,29,252
E01015047,41,49,49,52,24,216
E01015048,48,70,75,51,18,263
E01015049,96,25,15,13,4,153
E01015050,181,49,19,17,10,275
E01015051,130,17,11,8,5,172
E01015052,187,59,46,29,10,332
E01015053,118,27,36,26,14,221
E01015054,192,16,18,13,7,246
E01015055,29,30,54,52,22,187
E01015056,19,40,42,52,22,175
E01015057,25,38,58,45,20,186
E01015058,41,46,47,37,18,189
E01015059,35,45,52,41,12,186
E01015060,29,43,44,32,19,167
E01015061,51,40,43,23,10,167
E01015062,112,32,26,11,5,186
E01015063,21,46,36,33,16,153
E01015064,13,16,21,15,10,75
E01015065,9,11,12,11,7,52
E01015066,11,16,19,14,7,66
E01015067,16,11,13,17,9,67
E01015068,14,19,22,13,6,75
E01015069,33,39,46,34,15,168
E01015070,28,47,55,31,12,172
E01015071,22,22,45,45,21,155
E01015072,36,46,52,50,18,201
E01015073,28,46,53,57,23,207
E01015074,36,43,49,48,27,203
E01015075,8,19,41,41,24,132
E01015076,13,23,28,22,8,94
E01015077,26,44,55,50,20,194
E01015078,32,48,48,45,22,195
E01015079,15,22,25,23,11,96
E01015080,30,20,30,17,7,105
E01015081,37,37,48,45,23,190
E01015082,36,57,49,55,28,225
E01015083,31,46,57,58,26,217
E01015084,27,26,35,38,22,148
E01015085,19,35,44,40,23,162
E01015086,24,39,43,34,25,165
E01015087,51,48,59,39,18,215
E01015088,34,42,51,32,17,177
E01015089,25,42,42,39,28,176
E01015090,10,14,14,15,7,59
E01015091,16,18,19,26,14,94
E01015092,42,25,23,13,7,110
E01015093,18,26,47,41,20,152
E01015094,22,27,33,32,20,135
E01015095,19,27,40,29,30,146
E01015096,31,28,43,41,31,174
E01015097,11,14,18,20,16,79
E01015098,16,24,25,12,5,82
E01015099,14,26,22,11,4,77
E01015100,21,24,22,13,4,84
E01015101,9,11,22,16,7,65
E01015102,15,38,38,24,9,124
E01015103,12,23,25,14,4,78
E01015104,13,17,20,16,6,72
E01015105,12,25,24,14,4,80
E01015106,15,18,24,17,9,83
E01015107,19,26,30,18,6,99
E01015108,13,31,22,13,6,85
E01015109,18,29,28,23,7,105
E01015110,15,23,23,17,7,85
E01015111,12,30,27,12,3,83
E01015112,8,19,21,14,6,68
E01015113,12,14,20,14,7,67
E01015114,12,15,21,14,6,69
E01015115,27,28,32,32,21,140
E01015116,18,17,24,21,11,92
E01015117,11,19,17,16,6,69
E01015118,12,17,27,12,7,74
E01015119,17,18,23,16,5,79
E01015120,11,11,20,16,8,67
E01015121,10,10,17,13,9,59
E01015122,16,18,20,12,8,74
E01015123,12,17,27,23,16,96
E01015124,11,14,20,12,9,66
E01015125,13,15,20,13,8,69
E01015126,7,10,13,13,9,52
E01015127,12,13,16,15,9,64
E01015128,11,16,14,18,9,68
E01015129,12,23,27,18,6,86
E01015130,16,20,24,14,5,79
E01015131,10,5,14,15,11,56
E01015132,18,15,24,19,12,88
E01015133,13,14,17,15,8,66
E01015134,11,17,18,11,6,63
E01015135,23,19,30,20,10,102
E01015136,17,17,23,22,9,87
E01015137,12,16,18,16,7,69
E01015138,9,9,21,19,10,68
E01015139,16,17,21,21,11,85
E01015140,8,20,14,10,8,61
E01015141,10,16,19,18,10,74
E01015142,23,34,36,50,17,161
E01015143,18,26,35,40,22,141
E01015144,34,52,55,49,17,207
E01015145,18,61,56,29,6,170
E01015146,40,52,66,50,16,223
E01015147,15,23,34,34,22,128
E01015148,37,42,47,33,15,174
E01015149,39,37,48,41,22,187
E01015150,20,29,41,52,20,163
E01015151,122,65,52,49,15,303
E01015152,73,71,60,51,29,284
E01015153,60,53,63,59,23,257
E01015155,52,81,63,67,25,288
E01015156,100,69,55,45,27,295
E01015157,56,134,90,88,38,406
E01015158,81,110,69,64,40,363
E01015159,21,29,40,48,24,162
