Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,58,72,110,83,45,368
E01015024,34,39,51,48,20,192
E01015025,15,24,24,25,19,107
E01015026,50,109,84,79,37,359
E01015027,38,39,53,55,24,209
E01015028,43,78,69,71,35,296
E01015029,51,77,83,59,31,301
E01015030,54,80,93,87,45,359
E01015031,73,83,67,50,24,297
E01015032,248,103,65,40,16,472
E01015033,25,17,32,27,12,113
E01015034,20,19,26,21,13,99
E01015035,26,33,38,27,14,138
E01015036,18,23,40,26,16,123
E01015037,25,40,44,43,23,175
E01015038,32,36,45,34,15,162
E01015039,63,124,69,30,11,297
E01015040,32,48,92,75,35,282
E01015041,28,61,80,62,25,256
E01015042,43,76,79,60,19,277
E01015043,57,94,86,69,23,329
E01015044,51,106,90,75,38,360
E01015045,59,102,89,77,24,351
E01015046,68,99,105,92,52,416
E01015047,65,89,96,97,46,393
E01015048,88,125,130,79,34,456
E01015049,171,47,30,23,9,280
E01015050,327,77,38,22,16,480
E01015051,259,34,22,14,11,340
E01015052,303,93,72,48,21,537
E01015053,209,50,55,42,19,375
E01015054,361,31,30,23,12,457
E01015055,49,48,89,85,42,313
E01015056,37,71,65,83,41,297
E01015057,53,68,97,72,39,329
E01015058,69,71,86,71,36,333
E01015059,52,73,93,69,24,311
E01015060,57,60,76,58,34,285
E01015061,98,71,72,37,19,297
E01015062,223,66,41,22,9,361
E01015063,33,76,66,59,31,265
E01015064,20,19,29,26,17,111
E01015065,15,27,26,25,17,110
E01015066,21,28,35,28,15,127
E01015067,20,16,23,25,16,100
E01015068,27,38,39,26,16,146
E01015069,54,56,75,63,30,278
E01015070,51,86,100,67,26,330
E01015071,35,39,75,71,42,262
E01015072,55,73,86,89,36,339
E01015073,43,70,85,97,43,338
E01015074,51,66,81,80,53,331
E01015075,28,42,77,79,44,270
E01015076,29,41,52,40,16,178
E01015077,49,94,104,90,41,378
E01015078,56,79,83,82,42,342
E01015079,33,43,57,48,25,206
E01015080,41,42,47,34,15,179
E01015081,55,62,87,77,47,328
E01015082,61,78,84,100,55,378
E01015083,51,69,84,93,53,350
E01015084,39,38,65,67,39,248
E01015085,36,52,68,73,44,273
E01015086,39,59,67,64,54,283
E01015087,78,69,101,72,35,355
E01015088,66,84,83,64,30,327
E01015089,42,66,70,70,51,299
E01015090,18,24,30,30,15,117
E01015091,27,28,38,50,32,175
E01015092,106,60,55,30,18,269
E01015093,26,39,71,68,42,246
E01015094,39,44,54,59,40,236
E01015095,32,40,64,52,58,246
E01015096,50,41,82,77,57,307
E01015097,23,23,34,44,36,160
E01015098,35,45,48,27,12,167
E01015099,26,46,45,25,8,150
E01015100,40,42,42,25,7,156
E01015101,16,19,33,26,15,109
E01015102,37,67,70,43,18,235
E01015103,23,42,47,28,9,149
E01015104,22,28,32,25,10,117
E01015105,17,41,39,23,7,127
E01015106,25,36,39,33,18,151
E01015107,35,55,57,35,12,194
E01015108,24,56,41,27,13,161
E01015109,36,42,50,45,17,190
E01015110,23,30,35,28,11,127
E01015111,29,54,47,26,8,164
E01015112,21,34,39,29,13,136
E01015113,24,27,36,30,17,134
E01015114,18,26,35,32,14,125
E01015115,32,46,53,61,43,235
E01015116,32,35,46,41,24,178
E01015117,21,31,37,31,14,134
E01015118,17,29,38,20,12,116
E01015119,29,38,44,32,11,154
E01015120,25,25,39,33,18,140
E01015121,19,15,28,21,16,99
E01015122,27,33,37,26,18,141
E01015123,28,29,50,48,40,195
E01015124,18,28,37,26,20,129
E01015125,22,27,39,26,19,133
E01015126,15,14,23,19,17,88
E01015127,23,26,30,28,21,128
E01015128,26,32,28,35,22,143
E01015129,32,40,54,38,13,177
E01015130,27,37,34,23,9,130
E01015131,14,11,22,24,20,91
E01015132,30,27,45,44,27,173
E01015133,18,19,27,23,15,102
E01015134,22,33,35,23,15,128
E01015135,46,50,65,45,24,230
E01015136,33,30,48,44,21,176
E01015137,26,29,43,33,16,147
E01015138,22,21,46,38,23,150
E01015139,28,27,42,39,25,161
E01015140,12,33,20,16,15,96
E01015141,16,20,33,29,19,117
E01015142,33,53,61,80,31,258
E01015143,29,45,56,65,41,236
E01015144,53,77,97,80,34,341
E01015145,53,92,99,48,11,303
E01015146,68,101,121,87,30,407
E01015147,27,37,55,57,42,218
E01015148,50,63,75,63,31,282
E01015149,59,65,76,78,44,322
E01015150,35,41,66,79,41,262
E01015151,160,100,84,73,25,442
E01015152,117,109,110,84,46,466
E01015153,80,90,105,94,43,412
E01015155,92,115,101,94,35,437
E01015156,171,92,79,72,43,457
E01015157,77,183,141,139,68,608
E01015158,118,170,106,116,83,593
E01015159,37,43,61,84,47,272
