Area,RD&E Exeter Hospital,Barnstaple Hospital,Torbay Hospital,Plymouth Hospital,Community Hospital,Outside Devon,Total
E92000001,,,,,,,
E12000009,,,,,,,
E01015023,2,0,5,543,154,25,729
E01015024,0,0,0,309,132,17,458
E01015025,3,0,0,345,84,21,453
E01015026,0,0,3,478,158,8,647
E01015027,2,0,2,375,115,14,508
E01015028,2,1,5,596,107,16,727
E01015029,1,0,1,462,158,19,641
E01015030,2,0,5,528,131,11,677
E01015031,0,1,4,353,121,24,503
E01015032,1,0,2,383,132,50,568
E01015033,0,0,5,289,150,18,462
E01015034,0,1,3,270,128,14,416
E01015035,0,1,2,281,139,15,438
E01015036,0,0,0,305,171,12,488
E01015037,1,0,2,348,124,17,492
E01015038,0,0,1,316,199,20,536
E01015039,0,0,3,261,174,29,467
E01015040,0,0,2,412,303,12,729
E01015041,1,0,3,396,266,16,682
E01015042,0,0,2,327,242,14,585
E01015043,3,0,4,427,370,24,828
E01015044,1,1,3,347,242,11,605
E01015045,0,0,3,435,300,19,757
E01015046,0,0,0,563,548,14,1125
E01015047,1,0,4,389,526,14,934
E01015048,0,0,4,367,443,11,825
E01015049,2,1,2,267,135,29,436
E01015050,4,3,2,380,174,34,597
E01015051,2,0,1,317,144,45,509
E01015052,1,0,5,381,171,46,604
E01015053,1,0,4,308,114,30,457
E01015054,0,1,1,404,158,57,621
E01015055,2,0,1,384,185,27,599
E01015056,5,0,2,404,171,7,589
E01015057,0,1,7,472,209,14,703
E01015058,1,0,1,457,227,17,703
E01015059,1,0,7,346,201,12,567
E01015060,2,0,3,447,204,10,666
E01015061,0,1,5,334,181,18,539
E01015062,1,1,2,342,189,38,573
E01015063,1,0,0,374,149,12,536
E01015064,0,0,0,337,133,13,483
E01015065,3,0,1,371,131,19,525
E01015066,0,0,1,264,136,14,415
E01015067,0,2,1,312,127,20,462
E01015068,4,1,3,303,130,10,451
E01015069,0,1,2,444,155,14,616
E01015070,3,1,8,587,232,12,843
E01015071,2,0,3,379,125,11,520
E01015072,1,0,2,365,226,20,614
E01015073,1,2,5,410,229,12,659
E01015074,3,0,4,422,211,17,657
E01015075,2,0,0,367,193,16,578
E01015076,0,1,3,257,215,15,491
E01015077,0,0,4,438,215,12,669
E01015078,3,2,3,394,212,10,624
E01015079,2,0,0,295,223,11,531
E01015080,0,0,0,167,102,7,276
E01015081,1,0,3,435,195,16,650
E01015082,1,0,3,580,173,18,775
E01015083,0,0,1,499,207,18,725
E01015084,2,0,2,437,176,13,630
E01015085,2,0,4,393,183,16,598
E01015086,2,0,1,433,107,7,550
E01015087,0,0,5,488,186,11,690
E01015088,1,0,1,533,168,7,710
E01015089,0,0,3,436,181,15,635
E01015090,1,1,5,349,81,7,444
E01015091,0,0,2,357,89,15,463
E01015092,1,0,2,449,67,28,547
E01015093,2,0,9,391,63,8,473
E01015094,2,0,2,437,56,9,506
E01015095,0,2,1,342,104,14,463
E01015096,1,1,1,393,90,13,499
E01015097,1,1,1,402,82,15,502
E01015098,2,0,3,262,158,11,436
E01015099,0,2,0,209,141,18,370
E01015100,0,1,3,234,148,16,402
E01015101,0,1,2,317,165,15,500
E01015102,3,0,1,326,227,29,586
E01015103,2,1,1,363,148,16,531
E01015104,2,1,0,269,220,16,508
E01015105,0,0,3,250,157,21,431
E01015106,0,0,3,260,158,10,431
E01015107,0,1,2,283,166,11,463
E01015108,3,0,7,402,197,20,629
E01015109,1,0,1,277,169,8,456
E01015110,3,1,1,248,118,8,379
E01015111,1,0,4,286,143,12,446
E01015112,0,2,3,302,142,14,463
E01015113,1,0,5,238,134,19,397
E01015114,0,0,2,228,138,16,384
E01015115,2,0,2,388,136,11,539
E01015116,2,0,5,271,153,12,443
E01015117,2,0,3,247,120,14,386
E01015118,4,0,5,323,182,20,534
E01015119,3,0,2,266,152,5,428
E01015120,3,0,4,342,125,12,486
E01015121,0,0,1,248,127,12,388
E01015122,2,1,2,253,148,19,425
E01015123,0,4,2,424,138,12,580
E01015124,1,0,4,290,170,18,483
E01015125,2,0,2,273,144,12,433
E01015126,5,0,1,253,127,13,399
E01015127,0,0,1,269,140,9,419
E01015128,4,0,1,279,169,13,466
E01015129,0,0,5,267,174,8,454
E01015130,2,1,3,258,175,28,467
E01015131,0,0,0,275,140,12,427
E01015132,2,3,1,300,136,9,451
E01015133,0,0,2,216,143,14,375
E01015134,1,0,7,297,155,16,476
E01015135,1,0,1,331,177,13,523
E01015136,4,0,1,245,167,19,436
E01015137,1,0,3,270,191,13,478
E01015138,2,0,3,245,147,18,415
E01015139,0,1,1,285,174,9,470
E01015140,1,0,3,221,118,16,359
E01015141,2,0,3,273,191,15,484
E01015142,0,1,2,363,217,10,593
