Area,2011,2012,2013,2014,2015,2016
E92000001,,,,,,
E12000009,,,,,,
E01015023,490,513,526,512,496,518
E01015024,297,311,335,323,304,323
E01015025,337,336,367,361,347,354
E01015026,490,481,467,458,414,449
E01015027,371,385,439,435,423,416
E01015028,508,554,529,515,481,509
E01015029,534,460,545,539,508,532
E01015030,549,549,543,531,497,526
E01015031,396,405,406,398,391,411
E01015032,474,467,446,442,435,435
E01015033,247,297,336,328,309,328
E01015034,324,308,314,312,306,312
E01015035,332,290,283,274,267,274
E01015036,274,268,253,249,231,247
E01015037,242,250,278,273,257,270
E01015038,340,324,364,357,340,348
E01015039,620,653,604,599,582,609
E01015040,421,390,385,379,360,415
E01015041,316,323,305,290,270,308
E01015042,335,343,302,292,276,313
E01015043,447,440,406,391,357,406
E01015044,329,370,400,378,359,382
E01015045,384,401,390,381,350,398
E01015046,633,650,640,632,600,648
E01015047,361,370,379,366,349,433
E01015048,279,340,346,341,326,389
E01015049,338,298,301,297,289,297
E01015050,421,400,360,352,346,355
E01015051,426,392,432,424,420,426
E01015052,446,515,485,479,450,462
E01015053,306,263,336,332,318,331
E01015054,529,503,486,483,486,488
E01015055,439,415,406,398,384,386
E01015056,381,358,353,350,340,365
E01015057,592,531,483,479,450,491
E01015058,455,423,386,378,359,404
E01015059,359,361,347,343,313,348
E01015060,432,392,346,338,323,344
E01015061,380,316,335,327,303,321
E01015062,411,404,403,397,394,399
E01015063,375,355,380,371,335,358
E01015064,317,309,328,326,323,325
E01015065,341,328,312,304,277,290
E01015066,272,311,300,293,275,275
E01015067,353,324,300,299,293,296
E01015068,389,349,380,379,353,354
E01015069,460,439,460,449,428,429
E01015070,663,654,642,629,578,619
E01015071,408,401,373,368,353,371
E01015072,454,402,440,436,427,450
E01015073,392,383,408,401,382,402
E01015074,513,462,428,415,393,394
E01015075,448,389,348,338,316,325
E01015076,259,275,258,252,241,260
E01015077,443,464,463,458,441,472
E01015078,363,316,389,381,375,409
E01015079,273,294,318,313,292,322
E01015080,379,374,278,264,239,235
E01015081,429,462,474,463,449,481
E01015082,475,443,481,473,464,488
E01015083,531,545,510,502,475,489
E01015084,378,425,407,405,392,403
E01015085,437,397,332,327,313,334
E01015086,389,443,400,395,380,387
E01015087,484,470,455,447,442,457
E01015088,540,517,478,461,437,475
E01015089,430,444,397,387,369,392
E01015090,321,319,317,309,272,295
E01015091,349,356,368,362,353,359
E01015092,532,533,553,549,530,537
E01015093,367,375,353,348,336,346
E01015094,444,431,426,420,392,425
E01015095,390,397,400,395,379,404
E01015096,420,412,442,440,416,409
E01015097,360,369,372,365,352,352
E01015098,303,294,297,293,283,308
E01015099,267,239,233,222,210,220
E01015100,296,293,292,288,277,295
E01015101,316,352,341,338,323,324
E01015102,343,322,329,324,305,339
E01015103,280,268,281,270,257,278
E01015104,266,229,239,230,231,245
E01015105,253,238,227,218,217,251
E01015106,220,231,205,202,198,211
E01015107,345,308,332,321,291,322
E01015108,337,400,372,349,305,332
E01015109,316,269,335,331,315,318
E01015110,259,260,261,260,245,259
E01015111,290,264,278,270,262,284
E01015112,369,387,357,348,337,350
E01015113,284,279,278,278,261,269
E01015114,279,251,204,202,192,200
E01015115,427,374,336,331,322,335
E01015116,261,310,255,252,244,251
E01015117,285,274,276,275,258,264
E01015118,330,284,300,298,280,301
E01015119,280,281,286,282,261,279
E01015120,300,340,303,301,288,284
E01015121,276,254,247,247,245,247
E01015122,378,329,295,289,275,272
E01015123,471,441,459,451,416,427
E01015124,321,339,303,302,289,306
E01015125,293,290,269,266,256,277
E01015126,252,272,276,273,264,264
E01015127,259,286,259,255,248,261
E01015128,253,244,267,264,253,273
E01015129,273,286,289,278,262,288
E01015130,335,302,289,281,238,279
E01015131,261,267,254,253,247,248
E01015132,285,320,253,248,235,259
E01015133,256,247,227,224,213,225
E01015134,302,315,263,260,248,266
E01015135,318,322,339,334,327,329
E01015136,282,246,249,245,236,241
E01015137,244,276,253,245,227,246
E01015138,304,264,245,243,231,245
E01015139,360,308,352,343,321,347
E01015140,272,253,283,276,250,272
E01015141,343,324,298,290,273,282
E01015142,297,305,266,262,255,287
E01015143,320,309,303,301,290,306
E01015144,415,408,404,396,374,375
E01015145,554,601,611,586,526,630
E01015146,447,470,454,441,407,448
E01015147,283,327,281,272,267,281
E01015148,403,420,439,435,415,437
E01015149,421,420,413,404,386,398
E01015150,304,340,317,311,298,318
E01015151,436,516,463,450,447,454
E01015152,566,600,537,529,519,550
E01015153,504,445,456,448,432,468
E01015155,518,468,535,524,491,525
E01015156,467,482,507,503,506,522
E01015157,532,626,581,578,564,585
E01015158,445,582,561,554,534,559
E01015159,492,468,462,454,439,453
E01015160,321,283,275,272,255,278
