Area,2011,2012,2013,2014,2015,2016
E92000001,,,,,,
E12000009,,,,,,
E01015023,30835.74949,30659.0844,30939.78978,28726.82275,30820.82084,32539.22649
E01015024,22224.14639,22683.60167,24292.82016,21285.66827,22626.04535,23716.47285
E01015025,21127.67701,18657.04782,23338.82973,21632.16306,20390.06432,21017.00717
E01015026,29850.73425,29404.28808,30069.9509,27610.45688,27357.14852,29836.46292
E01015027,23583.098,24702.66695,26887.14771,25220.10318,25178.21283,26766.05656
E01015028,34896.95581,38489.85839,35450.01442,32551.42115,34819.94015,33297.08979
E01015029,27737.84933,24115.40648,29926.0252,28349.51727,29764.86033,28624.35483
E01015030,34577.03294,34921.83566,35537.80074,32253.39846,33913.34727,35191.84568
E01015031,23319.70534,25446.58478,23418.77055,22244.69648,23748.8562,26616.61868
E01015032,27194.25785,26460.84585,24281.74711,22382.2639,22048.85353,24025.39765
E01015033,16647.86974,20598.28901,22148.98608,19302.31942,21624.57854,18523.12681
E01015034,22095.89983,20877.32989,19554.50936,18610.57405,20437.84678,20366.70916
E01015035,21924.0517,19071.3799,18963.34742,17286.0365,19310.95054,19547.43429
E01015036,18425.60092,18670.93877,17198.10142,14882.31194,17044.34202,18046.13631
E01015037,17981.85141,19212.22029,20509.10418,18299.82614,19293.46034,20467.32658
E01015038,20546.86419,19055.11376,21263.76099,19486.47704,20049.69028,20379.90895
E01015039,23974.91392,25395.60366,26245.74717,24180.04669,27451.41051,27394.96438
E01015040,28348.40286,26062.92656,25774.60722,24523.94438,27552.66221,29941.37105
E01015041,22012.0904,21975.23464,21107.62652,19306.59494,20844.58389,23356.56095
E01015042,22321.61195,22362.16892,20228.94173,18784.1545,21456.8343,23262.35872
E01015043,28537.99089,29658.5878,26263.3193,24130.62477,27436.12193,29429.68206
E01015044,23005.73244,25792.00369,28692.04853,24267.89857,26811.43914,30247.19866
E01015045,24875.70702,25512.4529,24513.67564,22062.95026,26450.77812,28755.47176
E01015046,30850.14895,33044.28617,34123.76446,32105.94363,36073.92997,39550.1032
E01015047,23535.03448,22735.09598,22136.74323,20731.40647,25271.34542,29691.5461
E01015048,23017.5159,24945.90299,23892.85848,22400.33322,26762.92832,29152.45645
E01015049,24542.87309,23139.36815,21347.29276,19865.89416,23867.02019,27866.4837
E01015050,26265.75279,25798.95507,22238.55077,19795.87087,21835.87087,25422.53748
E01015051,25158.19255,22409.10582,25713.62902,23332.48424,24290.35733,24775.76075
E01015052,26120.38186,28032.30378,30633.49468,26257.11373,28619.12131,30193.54552
E01015053,24395.5344,18413.97615,22101.15268,19352.97992,21883.74586,23596.12628
E01015054,29529.30878,30044.23771,27181.57943,26941.57943,27642.76862,31115.82527
E01015055,31284.70447,29782.42727,28716.68391,26441.12836,27283.58219,29914.13343
E01015056,23920.40312,21188.46565,21395.41167,19736.38794,22395.01046,24178.86601
E01015057,36260.9415,30925.49018,29100.76022,27519.77884,31601.11694,31236.6986
E01015058,30891.14567,28466.87358,27055.09529,24775.31584,28821.5549,30096.3801
E01015059,23772.1859,23358.96161,22035.14164,19731.39832,24180.45269,27080.54442
E01015060,28192.26235,24998.91764,23506.79145,20790.89401,24566.41112,25467.55055
E01015061,25298.06334,20158.39898,21299.97481,19218.34638,20788.53469,22561.33658
E01015062,18855.74524,18711.49892,21080.32697,20182.36779,20038.85299,23057.03525
E01015063,26602.16124,23487.20683,24966.5993,22463.45404,24398.21741,26231.06834
E01015064,20241.38443,19812.22101,18545.77023,18275.31485,19168.76121,20613.14105
E01015065,22046.07417,22268.59847,20412.68867,17979.21104,18314.6162,19793.1235
E01015066,19484.85972,21585.29402,22474.70681,19821.37348,20288.3639,19065.37882
E01015067,25019.95406,24055.77506,22081.78778,20874.51505,23807.20097,24672.56452
E01015068,24148.41477,21473.04807,24289.67647,21882.05743,22408.53014,21835.91612
E01015069,28878.09365,27244.61827,28528.5019,26373.45579,26882.05264,26335.75964
E01015070,26790.29814,25162.56247,24979.55813,22701.46289,23954.76039,24550.81121
E01015071,27048.16402,26914.44542,24148.03432,22559.00113,24303.77022,24002.28523
E01015072,28228.32365,24745.22015,27748.20747,27099.0659,28837.22136,28967.3632
E01015073,27211.05017,25869.92399,28657.7011,26002.22325,30698.42206,30418.1863
E01015074,34487.21015,30015.6306,28470.96309,25026.2572,26344.78421,27288.35415
E01015075,31589.22979,27689.41678,25707.18345,23320.76627,25009.23468,27124.24755
E01015076,19086.32252,18942.70731,18337.27595,17479.09413,19514.12087,21803.72746
E01015077,25430.17225,25340.82734,25301.62306,23710.43558,26636.13647,26402.1329
E01015078,29520.61558,27484.06876,30712.13566,29319.92787,31569.72575,30046.92771
