Area,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,,,,,,
E12000009,,,,,,
E01015023,2730.313649,2653.118023,2644.116327,2528.149941,2641.492779,2704.742346
E01015024,2527.568509,2521.087326,2601.426757,2392.800932,2479.075397,2586.454904
E01015025,2255.759889,1994.937791,2387.82291,2276.099702,2157.881576,2205.028617
E01015026,2643.096682,2627.81146,2727.283909,2659.680651,2508.238325,2729.58778
E01015027,2399.771947,2467.570387,2515.17695,2403.437022,2428.320162,2498.165279
E01015028,3034.672008,3205.143676,3020.957751,2909.065415,2992.832559,2945.246187
E01015029,2352.654903,2203.797785,2512.504554,2465.300611,2524.580898,2423.312282
E01015030,2892.395138,2921.238148,2989.143085,2835.654789,2868.399153,3010.360205
E01015031,2296.844199,2478.323889,2278.017972,2204.926804,2293.243447,2693.973505
E01015032,2448.184318,2399.945358,2253.557137,2103.368933,2081.629571,2604.070751
E01015033,2076.186027,2342.658554,2368.319457,2152.218349,2326.133744,2165.794325
E01015034,2405.997981,2331.608698,2162.908618,2085.235584,2249.891522,2235.020914
E01015035,2358.347764,2195.023579,2209.417834,2073.460977,2211.189242,2230.667426
E01015036,2181.737269,2235.397851,2119.22133,1919.201104,2117.076923,2113.787324
E01015037,2265.597688,2381.571501,2410.906481,2237.363112,2309.929903,2410.33444
E01015038,2184.047921,2074.890165,2184.466865,2071.333089,2103.541217,2105.266406
E01015039,1887.197199,1947.861265,2093.131642,1964.498557,2166.098261,2354.643373
E01015040,2707.968569,2586.705271,2574.647412,2533.349701,2616.464458,2736.206302
E01015041,2427.022585,2396.560137,2368.89359,2302.925423,2291.056193,2516.233683
E01015042,2390.337483,2366.58951,2281.527791,2216.119535,2332.813598,2465.453222
E01015043,2645.609277,2771.278684,2554.716237,2503.171063,2581.272953,2784.921741
E01015044,2485.960289,2628.09035,2811.820756,2510.38897,2657.589007,3017.502078
E01015045,2488.088891,2497.100956,2432.944506,2311.456022,2500.116786,2759.99656
E01015046,2403.319342,2540.362935,2643.766041,2569.010534,2705.447915,2845.782732
E01015047,2427.82461,2316.605063,2228.692718,2175.064422,2277.476293,2554.495872
E01015048,2700.924358,2651.647817,2517.596537,2431.653837,2562.611028,2655.465914
E01015049,2616.514362,2627.238109,2411.657498,2290.420738,2648.359726,3510.997818
E01015050,2509.024348,2528.297597,2297.266095,2085.895918,2265.126603,3329.28488
E01015051,2389.080087,2218.388296,2424.809204,2231.476961,2301.272727,2891.735162
E01015052,2424.198419,2421.09175,2726.350865,2426.033534,2590.156143,3119.025567
E01015053,2733.41576,2225.490647,2363.204786,2127.111999,2333.024953,3168.888668
E01015054,2516.410661,2625.628442,2416.643704,2395.305926,2450.096446,3283.43065
E01015055,2926.549459,2865.445237,2793.362782,2644.663635,2721.847629,2827.471721
E01015056,2401.939575,2194.896605,2231.975206,2097.897599,2254.694659,2431.085324
E01015057,2921.01841,2630.421847,2595.29566,2542.697839,2726.676741,2705.740972
E01015058,2838.470522,2712.849245,2699.053461,2562.87867,2736.961439,2723.85455
E01015059,2459.110051,2409.661303,2318.500428,2185.957764,2487.523464,2602.356538
E01015060,2658.545675,2474.766586,2476.916557,2267.399125,2555.545456,2598.543941
E01015061,2543.616003,2222.637138,2280.934203,2163.967698,2249.795418,2548.811091
E01015062,1822.967232,1824.626456,2058.168329,1992.87508,1966.266965,2591.926865
E01015063,2692.510211,2443.280153,2510.28866,2405.526819,2462.881367,2616.847401
E01015064,2228.264049,2209.072634,2007.076954,1993.05681,2077.668437,2165.761476
E01015065,2339.969227,2409.972207,2265.056222,2117.321546,2079.436972,2203.380791
E01015066,2315.62859,2399.019872,2543.252494,2342.736636,2397.931376,2304.218378
E01015067,2610.08846,2619.406617,2498.789519,2390.224294,2654.514914,2711.794682
E01015068,2399.771533,2252.874785,2442.22686,2282.742224,2361.192486,2310.896148
E01015069,2639.038196,2548.616782,2607.090589,2498.625841,2517.569354,2503.84509
E01015070,2039.279972,1928.510746,1932.294462,1850.742493,1875.055522,1900.609533
E01015071,2624.603968,2634.3248,2450.662131,2353.361177,2456.607647,2426.133761
E01015072,2596.64891,2418.991636,2592.774019,2570.374801,2652.659801,2664.631205
E01015073,2693.756534,2590.907076,2780.784529,2607.563376,2901.602364,2878.463592
E01015074,2984.389149,2737.048893,2697.344052,2474.319056,2568.975926,2628.6529
E01015075,2925.203614,2751.661954,2700.977374,2571.315373,2670.18605,2798.080273
E01015076,2324.494096,2238.884931,2237.592712,2206.817764,2372.020226,2567.715671
E01015077,2368.118934,2305.780016,2304.697641,2212.973987,2385.390833,2364.434717
E01015078,3036.883753,3030.355337,3052.047499,2967.586147,3063.351266,2849.982584
