Area,RD&E Exeter Hospital,Barnstaple Hospital,Torbay Hospital,Plymouth Hospital,Community Hospital,Outside Devon,Total
E92000001,,,,,,,
E12000009,,,,,,,
E01015023,#,0,5,543,154,25,727
E01015024,0,0,0,309,132,17,458
E01015025,#,0,0,345,84,21,450
E01015026,0,0,#,478,158,8,644
E01015027,#,0,#,375,115,14,504
E01015028,#,#,5,596,107,16,724
E01015029,#,0,#,462,158,19,639
E01015030,#,0,5,528,131,11,675
E01015031,0,#,#,353,121,24,498
E01015032,#,0,#,383,132,50,565
E01015033,0,0,5,289,150,18,462
E01015034,0,#,#,270,128,14,412
E01015035,0,#,#,281,139,15,435
E01015036,0,0,0,305,171,12,488
E01015037,#,0,#,348,124,17,489
E01015038,0,0,#,316,199,20,535
E01015039,0,0,#,261,174,29,464
E01015040,0,0,#,412,303,12,727
E01015041,#,0,#,396,266,16,678
E01015042,0,0,#,327,242,14,583
E01015043,#,0,#,427,370,24,821
E01015044,#,#,#,347,242,11,600
E01015045,0,0,#,435,300,19,754
E01015046,0,0,0,563,548,14,1125
E01015047,#,0,#,389,526,14,929
E01015048,0,0,#,367,443,11,821
E01015049,#,#,#,267,135,29,431
E01015050,#,#,#,380,174,34,588
E01015051,#,0,#,317,144,45,506
E01015052,#,0,5,381,171,46,603
E01015053,#,0,#,308,114,30,452
E01015054,0,#,#,404,158,57,619
E01015055,#,0,#,384,185,27,596
E01015056,5,0,#,404,171,7,587
E01015057,0,#,7,472,209,14,702
E01015058,#,0,#,457,227,17,701
E01015059,#,0,7,346,201,12,566
E01015060,#,0,#,447,204,10,661
E01015061,0,#,5,334,181,18,538
E01015062,#,#,#,342,189,38,569
E01015063,#,0,0,374,149,12,535
E01015064,0,0,0,337,133,13,483
E01015065,#,0,#,371,131,19,521
E01015066,0,0,#,264,136,14,414
E01015067,0,#,#,312,127,20,459
E01015068,#,#,#,303,130,10,443
E01015069,0,#,#,444,155,14,613
E01015070,#,#,8,587,232,12,839
E01015071,#,0,#,379,125,11,515
E01015072,#,0,#,365,226,20,611
E01015073,#,#,5,410,229,12,656
E01015074,#,0,#,422,211,17,650
E01015075,#,0,0,367,193,16,576
E01015076,0,#,#,257,215,15,487
E01015077,0,0,#,438,215,12,665
E01015078,#,#,#,394,212,10,616
E01015079,#,0,0,295,223,11,529
E01015080,0,0,0,167,102,7,276
E01015081,#,0,#,435,195,16,646
E01015082,#,0,#,580,173,18,771
E01015083,0,0,#,499,207,18,724
E01015084,#,0,#,437,176,13,626
E01015085,#,0,#,393,183,16,592
E01015086,#,0,#,433,107,7,547
E01015087,0,0,5,488,186,11,690
E01015088,#,0,#,533,168,7,708
E01015089,0,0,#,436,181,15,632
E01015090,#,#,5,349,81,7,442
E01015091,0,0,#,357,89,15,461
E01015092,#,0,#,449,67,28,544
E01015093,#,0,9,391,63,8,471
E01015094,#,0,#,437,56,9,502
E01015095,0,#,#,342,104,14,460
E01015096,#,#,#,393,90,13,496
E01015097,#,#,#,402,82,15,499
E01015098,#,0,#,262,158,11,431
E01015099,0,#,0,209,141,18,368
E01015100,0,#,#,234,148,16,398
E01015101,0,#,#,317,165,15,497
E01015102,#,0,#,326,227,29,582
E01015103,#,#,#,363,148,16,527
E01015104,#,#,0,269,220,16,505
E01015105,0,0,#,250,157,21,428
E01015106,0,0,#,260,158,10,428
E01015107,0,#,#,283,166,11,460
E01015108,#,0,7,402,197,20,626
E01015109,#,0,#,277,169,8,454
E01015110,#,#,#,248,118,8,374
E01015111,#,0,#,286,143,12,441
E01015112,0,#,#,302,142,14,458
E01015113,#,0,5,238,134,19,396
E01015114,0,0,#,228,138,16,382
E01015115,#,0,#,388,136,11,535
E01015116,#,0,5,271,153,12,441
E01015117,#,0,#,247,120,14,381
E01015118,#,0,5,323,182,20,530
E01015119,#,0,#,266,152,5,423
E01015120,#,0,#,342,125,12,479
E01015121,0,0,#,248,127,12,387
E01015122,#,#,#,253,148,19,420
E01015123,0,#,#,424,138,12,574
E01015124,#,0,#,290,170,18,478
E01015125,#,0,#,273,144,12,429
E01015126,5,0,#,253,127,13,398
E01015127,0,0,#,269,140,9,418
E01015128,#,0,#,279,169,13,461
E01015129,0,0,5,267,174,8,454
E01015130,#,#,#,258,175,28,461
E01015131,0,0,0,275,140,12,427
E01015132,#,#,#,300,136,9,445
E01015133,0,0,#,216,143,14,373
E01015134,#,0,7,297,155,16,475
E01015135,#,0,#,331,177,13,521
E01015136,#,0,#,245,167,19,431
E01015137,#,0,#,270,191,13,474
E01015138,#,0,#,245,147,18,410
E01015139,0,#,#,285,174,9,468
E01015140,#,0,#,221,118,16,355
E01015141,#,0,#,273,191,15,479
E01015142,0,#,#,363,217,10,590
