Area,Low happiness score,Low worthwhile score,Low life satisfaction score
E92000001,,,
E12000009,,,
E01015023,583,424,548
E01015024,430,297,356
E01015025,330,204,251
E01015026,568,454,535
E01015027,413,264,331
E01015028,535,416,520
E01015029,513,330,403
E01015030,544,435,513
E01015031,429,306,352
E01015032,630,456,500
E01015033,396,221,285
E01015034,343,214,243
E01015035,416,262,339
E01015036,419,269,314
E01015037,403,278,348
E01015038,455,297,367
E01015039,624,462,543
E01015040,523,385,492
E01015041,472,354,413
E01015042,480,360,435
E01015043,554,446,523
E01015044,487,365,441
E01015045,586,491,554
E01015046,707,577,670
E01015047,669,542,651
E01015048,594,495,561
E01015049,474,305,355
E01015050,583,389,428
E01015051,589,366,406
E01015052,654,485,548
E01015053,476,375,418
E01015054,620,440,480
E01015055,498,351,439
E01015056,473,343,408
E01015057,533,408,486
E01015058,561,417,529
E01015059,510,351,446
E01015060,497,357,451
E01015061,470,348,409
E01015062,620,413,496
E01015063,488,354,428
E01015064,401,240,305
E01015065,405,274,318
E01015066,416,273,344
E01015067,373,238,298
E01015068,447,287,367
E01015069,541,398,477
E01015070,803,544,673
E01015071,456,334,395
E01015072,545,384,497
E01015073,481,350,452
E01015074,529,393,484
E01015075,447,342,407
E01015076,429,300,357
E01015077,526,386,473
E01015078,539,407,524
E01015079,423,272,347
E01015080,317,229,309
E01015081,559,415,511
E01015082,582,432,549
E01015083,551,425,519
E01015084,445,301,388
E01015085,476,333,412
E01015086,476,367,448
E01015087,569,401,535
E01015088,620,469,586
E01015089,521,370,437
E01015090,390,255,323
E01015091,429,276,352
E01015092,538,370,437
E01015093,483,355,426
E01015094,439,302,384
E01015095,458,329,400
E01015096,474,345,445
E01015097,490,320,395
E01015098,448,304,368
E01015099,409,273,333
E01015100,407,256,316
E01015101,397,248,298
E01015102,516,361,430
E01015103,432,283,342
E01015104,417,247,309
E01015105,417,262,324
E01015106,383,255,306
E01015107,408,257,347
E01015108,535,344,421
E01015109,409,262,321
E01015110,404,242,291
E01015111,437,275,323
E01015112,416,262,323
E01015113,396,249,323
E01015114,392,246,319
E01015115,473,362,431
E01015116,392,247,319
E01015117,412,265,338
E01015118,450,266,350
E01015119,458,271,339
E01015120,429,270,334
E01015121,390,245,303
E01015122,431,255,335
E01015123,485,341,413
E01015124,424,283,346
E01015125,409,242,318
E01015126,344,206,262
E01015127,430,276,337
E01015128,447,287,367
E01015129,434,303,347
E01015130,446,275,326
E01015131,353,215,261
E01015132,430,276,353
E01015133,366,214,275
E01015134,403,264,310
E01015135,427,290,366
E01015136,397,250,309
E01015137,435,279,357
E01015138,427,274,335
E01015139,428,285,371
E01015140,406,270,300
E01015141,448,287,359
E01015142,402,287,330
E01015143,418,283,364
E01015144,519,393,488
E01015145,725,572,725
E01015146,701,501,661
E01015147,352,231,291
E01015148,512,368,448
E01015149,510,383,482
E01015150,429,315,372
E01015151,676,541,637
E01015152,751,638,732
E01015153,630,525,612
E01015155,720,630,720
E01015156,578,497,529
E01015157,797,628,700
E01015158,706,595,617
E01015159,539,408,490
E01015160,369,236,295
E01015161,485,348,439
E01015162,529,378,483
E01015163,441,279,353
E01015164,580,380,460
E01015165,496,325,393
E01015166,715,498,629
E01015167,516,387,451
E01015168,550,408,479
E01015169,560,367,444
E01015170,547,418,499
E01015171,524,388,456
E01015172,529,365,438
E01015173,462,319,373
E01015174,535,363,449
E01015175,497,342,428
E01015176,494,344,434
E01015177,500,345,414
E01015178,591,379,464
E01015179,514,354,407
E01015180,633,507,579
E01015181,667,500,562
E01015182,658,499,598
E01015183,378,256,310
E01015184,349,246,284
E01015185,397,291,344
E01015186,441,345,400
E01015187,372,262,303
E01015188,444,306,383
E01015189,351,249,295
E01015190,467,294,363
E01015191,449,283,366
E01015192,459,321,383
E01015193,361,249,311
E01015194,435,309,393
E01015195,450,311,373
E01015196,604,466,586
E01015197,317,193,248
E01015198,411,268,332
E01015199,314,196,249
E01015200,304,210,262
E01015201,338,216,256
E01015202,459,301,380
E01015203,308,205,257
E01015204,411,283,340
E01015205,403,273,345
E01015206,455,318,394
E01015207,460,296,361
E01015208,430,280,336
E01015209,364,286,312
E01015210,489,362,426
E01015211,379,233,292
E01015212,419,293,363
E01015213,427,280,354
E01015214,440,326,383
E01015215,436,301,361
E01015216,435,323,379
E01015217,519,409,472
E01015218,438,307,380
E01015219,405,311,351
E01015220,378,252,308
E01015221,397,273,342
E01015222,395,263,321
E01015223,347,218,270
E01015224,395,263,322
E01015225,423,287,348
E01015226,343,214,257
E01015227,383,229,291
E01015228,431,327,372
E01015229,426,326,369
E01015230,356,228,285
E01015231,596,494,545
E01015232,539,434,486
E01015233,440,344,399
E01015234,450,327,396
E01015235,499,413,448
