Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,205,225,235,230,235,235,245,240,290,270,285,295,295,285,270,250
E01015024,115,130,145,120,125,130,110,110,120,125,135,130,125,115,115,110
E01015025,45,60,60,60,60,60,55,60,60,60,70,55,50,45,50,55
E01015026,250,255,270,260,285,285,295,285,280,290,275,280,270,280,260,250
E01015027,110,125,130,115,110,115,110,110,130,125,105,125,110,120,105,95
E01015028,235,235,235,225,245,245,260,260,265,265,285,265,285,260,265,260
E01015029,85,135,170,175,170,175,150,160,170,180,190,180,170,155,150,140
E01015030,285,285,310,295,320,330,320,335,345,360,345,330,320,310,305,310
E01015031,140,140,130,115,105,120,95,85,135,135,135,145,140,135,125,105
E01015032,190,195,180,145,160,145,160,160,175,185,180,210,195,190,175,170
E01015033,90,100,95,80,75,80,70,75,80,65,75,70,70,65,65,65
E01015034,80,75,75,65,60,65,50,55,60,55,55,55,50,50,50,40
E01015035,95,95,90,85,85,95,80,80,95,90,90,85,75,65,75,70
E01015036,80,85,70,65,70,65,65,60,75,65,75,85,80,70,80,75
E01015037,115,125,125,125,115,130,125,120,135,120,130,120,130,125,110,110
E01015038,80,110,110,105,100,115,95,85,105,95,110,100,80,85,90,70
E01015039,110,125,125,130,110,130,110,115,120,120,130,120,120,115,120,125
E01015040,255,275,285,265,260,270,280,285,325,325,310,305,300,275,270,245
E01015041,155,150,165,175,175,165,175,155,195,180,200,205,190,170,175,145
E01015042,150,160,150,155,150,140,150,160,165,175,185,180,165,185,175,180
E01015043,250,280,285,290,285,305,305,290,320,320,350,350,370,350,360,340
E01015044,225,225,210,210,210,220,220,215,245,250,260,265,250,260,235,230
E01015045,245,240,255,210,220,230,235,240,300,290,310,315,290,285,255,265
E01015046,370,395,400,420,435,485,485,475,520,535,545,525,460,430,425,430
E01015047,250,265,285,275,260,285,300,270,295,305,315,315,340,335,330,315
E01015048,390,380,385,365,375,375,295,295,295,280,305,345,340,320,325,315
E01015049,95,95,100,85,110,90,90,90,100,85,95,95,90,105,90,85
E01015050,145,155,130,145,130,130,110,120,150,145,165,160,160,130,145,120
E01015051,115,115,115,130,140,135,100,95,115,110,120,100,115,105,105,115
E01015052,200,205,210,205,215,210,180,180,205,200,245,240,215,205,200,200
E01015053,155,165,175,155,160,180,185,165,205,175,180,195,185,155,150,135
E01015054,130,145,140,115,130,115,120,115,130,125,125,130,115,105,115,105
E01015055,230,250,235,220,240,235,235,245,270,270,270,285,265,260,260,235
E01015056,150,175,185,175,170,170,185,170,185,165,180,185,175,175,175,185
E01015057,185,195,195,195,190,190,200,200,230,245,240,275,270,260,230,235
E01015058,260,260,285,250,245,255,235,235,265,265,245,245,230,230,225,235
E01015059,160,145,150,150,150,145,150,150,175,165,165,175,160,170,170,150
E01015060,145,155,155,155,195,190,170,170,200,190,185,200,190,175,175,170
E01015061,135,170,150,145,145,140,145,150,190,175,190,190,180,185,165,170
E01015062,140,150,140,135,130,140,145,125,155,160,170,155,150,140,135,165
E01015063,180,195,190,185,185,190,170,175,190,180,180,185,165,165,160,160
E01015064,75,85,85,75,60,65,60,60,75,80,75,75,60,60,70,60
E01015065,55,65,60,65,60,65,60,70,80,75,80,70,75,75,65,85
E01015066,70,90,85,90,75,80,80,65,70,75,80,80,65,65,65,60
E01015067,85,95,90,90,90,80,75,60,90,80,90,85,90,70,85,70
E01015068,100,105,100,100,95,105,105,85,110,110,110,90,115,95,100,90
E01015069,185,200,195,170,180,170,185,175,180,175,175,160,150,140,150,150
E01015070,150,175,160,160,170,185,205,215,225,235,220,235,240,235,230,220
E01015071,115,125,125,110,120,110,115,115,130,125,120,125,115,120,120,125
E01015072,240,280,280,250,260,265,255,245,275,265,250,265,250,230,245,230
E01015073,225,240,240,230,245,240,240,220,245,260,255,255,255,240,215,220
E01015074,225,245,270,250,240,245,245,265,265,270,275,280,270,260,245,235
E01015075,210,215,220,215,225,230,230,205,250,240,255,260,220,195,190,190
E01015076,90,115,105,95,105,95,100,100,125,125,120,130,135,120,115,120
E01015077,135,140,155,140,150,145,150,160,170,170,170,165,150,165,155,165
E01015078,310,310,325,325,300,320,310,310,345,330,245,230,230,230,245,235
E01015079,110,115,120,115,115,110,100,105,130,125,110,120,140,135,130,140
E01015080,285,300,330,310,310,310,315,305,330,305,320,285,200,160,125,105
E01015081,205,220,230,230,245,235,235,220,235,250,240,250,215,195,195,195
E01015082,275,300,305,295,300,305,295,285,335,325,325,315,315,280,285,275
E01015083,210,235,250,235,255,245,240,240,290,300,300,275,285,290,285,260
