Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,0.25383324,0.25956491,0.27188007,0.260684997,0.255269051,0.252616035,0.260607275,0.260054963,0.310694419,0.295194886,0.301388754,0.299690688,0.301875943,0.282779129,0.268880401,0.250295941
E01015024,0.13185671,0.146091765,0.158516833,0.140931797,0.139269368,0.146091765,0.124765049,0.127646976,0.143038177,0.145101383,0.157135696,0.150652127,0.147252362,0.136280946,0.136280946,0.130923099
E01015025,0.062286771,0.081487162,0.084150266,0.081832464,0.084796891,0.085077067,0.079948774,0.088895365,0.088793184,0.090456783,0.103385443,0.084977475,0.081269915,0.074545987,0.08157156,0.088550436
E01015026,0.275081197,0.280732838,0.293488851,0.282548788,0.303960279,0.293390305,0.302703636,0.29528192,0.303594892,0.313081788,0.293735049,0.297017467,0.286587262,0.286752162,0.267631355,0.258046799
E01015027,0.119697824,0.139661004,0.138492921,0.124374786,0.117159982,0.122825969,0.119267246,0.121118924,0.143913525,0.141922534,0.120211304,0.13992332,0.124297328,0.137555661,0.121940581,0.111467502
E01015028,0.320399754,0.326258748,0.327456285,0.30486123,0.312075344,0.314189865,0.329746683,0.332353869,0.338660908,0.324711052,0.349313915,0.322265432,0.338979624,0.304175206,0.309605358,0.304175206
E01015029,0.109333214,0.152926983,0.174464794,0.173956246,0.170993789,0.173807346,0.152197224,0.161321673,0.173089935,0.181477886,0.188613395,0.179138315,0.176647388,0.162301889,0.157506101,0.147891825
E01015030,0.349694629,0.345179973,0.364659549,0.355287801,0.369793265,0.378220331,0.370558803,0.380057805,0.395870725,0.406904246,0.378714311,0.362949236,0.35903699,0.347512208,0.342282369,0.347512208
E01015031,0.158226838,0.14882399,0.145815887,0.128782516,0.125428906,0.134842194,0.108348497,0.095872958,0.138366718,0.135092512,0.133512816,0.148841407,0.143775001,0.144104443,0.134370864,0.114785177
E01015032,0.195163419,0.189439706,0.171192882,0.141090374,0.148149896,0.119546343,0.123317225,0.118020728,0.121708531,0.126744741,0.121559937,0.140526768,0.12395383,0.117884332,0.10926117,0.106380319
E01015033,0.112128695,0.127471261,0.119003907,0.106598881,0.097048235,0.103175487,0.091230693,0.098162615,0.103820816,0.085932461,0.095568771,0.090299412,0.089206663,0.084702708,0.084702708,0.084702708
E01015034,0.115902624,0.108968592,0.107843935,0.094778175,0.086216532,0.092143478,0.072911481,0.079504915,0.086895422,0.08349121,0.084776256,0.084079434,0.079988152,0.078746186,0.078746186,0.065127303
E01015035,0.116731907,0.116849321,0.108927792,0.105176829,0.104966805,0.117916776,0.099764799,0.099965077,0.11863931,0.110120186,0.110229881,0.103316333,0.095861045,0.082757041,0.093851873,0.088316035
E01015036,0.119089976,0.123021705,0.100908949,0.096657514,0.103024244,0.096770387,0.095543101,0.0883868,0.109603593,0.095985769,0.108340904,0.121880858,0.115902624,0.10727166,0.120677133,0.113987568
E01015037,0.163169519,0.175524013,0.173077901,0.181068411,0.164334306,0.185365115,0.178680554,0.174506727,0.196537068,0.179524718,0.190861358,0.171587244,0.179339604,0.1722776,0.153498215,0.153498215
E01015038,0.100267006,0.128887439,0.130280084,0.124082515,0.118184719,0.129023168,0.107945765,0.095092461,0.115725444,0.10435767,0.115026013,0.104124914,0.085687135,0.092174268,0.096992724,0.077621286
E01015039,0.099120562,0.107587945,0.10493539,0.100925986,0.083356462,0.093812364,0.0777366,0.078577551,0.077985497,0.074272253,0.080464433,0.077985497,0.086336631,0.082969268,0.086232877,0.08949023
E01015040,0.296288085,0.302919557,0.319083453,0.297308763,0.288934339,0.30132512,0.303594892,0.319083453,0.368707106,0.368333256,0.341028248,0.338554849,0.336039142,0.319460742,0.314056768,0.286963542
E01015041,0.191392479,0.17469158,0.194073057,0.200193962,0.199016932,0.192326448,0.194816969,0.178063879,0.222031741,0.213218798,0.230465925,0.242333307,0.217857373,0.194744145,0.199996826,0.168366322
E01015042,0.179681514,0.188679201,0.16997113,0.175143277,0.165033667,0.156282001,0.164879163,0.178074511,0.185285527,0.202388374,0.206817278,0.199354497,0.186543571,0.205229385,0.195004031,0.200119987
E01015043,0.320487246,0.345116666,0.345179973,0.340196961,0.315628924,0.339900906,0.33622466,0.310694419,0.343198735,0.349227461,0.371758972,0.386507245,0.397668951,0.371758972,0.381688586,0.36181572
E01015044,0.244952146,0.245186118,0.227200073,0.224864706,0.223403371,0.220733436,0.222886958,0.229597506,0.254873415,0.260898104,0.265936663,0.268266579,0.249854464,0.258910027,0.235690182,0.231033627
