Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,0.135,0.14,0.139,0.135,0.133,0.133,0.129,0.127,0.144,0.141,0.139,0.141,0.135,0.125,0.118,0.111
E12000009,0.111,0.115,0.115,0.111,0.11,0.111,0.109,0.108,0.124,0.121,0.12,0.122,0.118,0.11,0.106,0.101
E01015023,0.225274725,0.231719876,0.243523316,0.233029382,0.228377065,0.225961538,0.233778626,0.233009709,0.282101167,0.266798419,0.27325024,0.272140221,0.274163569,0.25606469,0.242587601,0.224618149
E01015024,0.111111111,0.124521073,0.136406397,0.119284294,0.118259224,0.124521073,0.104662226,0.107108082,0.121089808,0.123274162,0.134462151,0.128458498,0.125125125,0.114885115,0.114885115,0.10989011
E01015025,0.046923879,0.063897764,0.066006601,0.064171123,0.066518847,0.066740823,0.062006764,0.069767442,0.069686411,0.071005917,0.082742317,0.065947242,0.062266501,0.05625,0.0625,0.06875
E01015026,0.247279921,0.252725471,0.265225933,0.254652302,0.275628627,0.265858209,0.274930103,0.267605634,0.275049116,0.284313725,0.265700483,0.268972142,0.258868648,0.259499537,0.240963855,0.231696015
E01015027,0.100364964,0.118595825,0.117967332,0.104735883,0.098214286,0.103417266,0.1,0.101569714,0.122641509,0.120540019,0.100382409,0.118821293,0.104265403,0.116391853,0.101842871,0.09214355
E01015028,0.287990196,0.293383271,0.294486216,0.273058252,0.280963303,0.282909931,0.298165138,0.300578035,0.306712963,0.293791574,0.317725753,0.291529153,0.308108108,0.274551214,0.279831045,0.274551214
E01015029,0.0893796,0.130813953,0.152057245,0.151909722,0.148992112,0.151777971,0.131233596,0.13986014,0.150842946,0.158870256,0.165794066,0.156794425,0.153985507,0.140398551,0.135869565,0.126811594
E01015030,0.318080357,0.313876652,0.333333333,0.323819978,0.338624339,0.347003155,0.339342524,0.348958333,0.364308342,0.375391032,0.348133199,0.33266129,0.328542094,0.317297851,0.312180143,0.317297851
