Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,0.026767405,0.026207397,0.026781985,0.026052748,0.025328175,0.025093502,0.025324307,0.025509881,0.027339537,0.027032743,0.026852537,0.026307506,0.026471265,0.025418232,0.024924425,0.024212996
E01015024,0.018502002,0.019426634,0.020074144,0.019389004,0.018856063,0.019426634,0.017855372,0.018253125,0.019666534,0.019611229,0.020504059,0.020004918,0.019888999,0.019098496,0.019098496,0.018704424
E01015025,0.012494554,0.014786438,0.015262212,0.014848155,0.015377659,0.015427672,0.014956797,0.016108708,0.016090496,0.016386907,0.017674941,0.015883917,0.015701536,0.014928582,0.015759072,0.016541612
E01015026,0.026321078,0.026556412,0.026898112,0.026474013,0.027048056,0.026240217,0.026533169,0.026385598,0.027238417,0.027517315,0.02669513,0.026732396,0.026350539,0.025934125,0.025246584,0.024878568
E01015027,0.017154304,0.018906868,0.018459002,0.017489436,0.016802371,0.01727923,0.017094632,0.017351137,0.019149774,0.01919998,0.017544733,0.018940889,0.017790752,0.018943367,0.017788771,0.016955251
E01015028,0.030869395,0.03134629,0.031443308,0.030169855,0.029623793,0.02979466,0.030210756,0.030410434,0.030623182,0.029565896,0.030385568,0.029378419,0.029643929,0.028214458,0.028397979,0.028214458
E01015029,0.017363685,0.01998139,0.020558246,0.020251666,0.020173729,0.020235397,0.019043817,0.019589681,0.020406068,0.02081967,0.021088527,0.020568582,0.020799479,0.019965791,0.019673833,0.019067027
E01015030,0.030412672,0.030090263,0.030266291,0.030323608,0.030159185,0.030266083,0.030208891,0.030169444,0.030715471,0.0307454,0.029675517,0.029290866,0.029454139,0.029108562,0.028965344,0.029108562
E01015031,0.020332342,0.019181539,0.019391592,0.018086535,0.018280279,0.018584484,0.016493918,0.0152748,0.01816115,0.017749284,0.017550242,0.018907931,0.018560387,0.018880663,0.018219489,0.016777362
E01015032,0.021767826,0.020939363,0.019712203,0.017967745,0.01806977,0.015327341,0.015163534,0.014536924,0.014424537,0.01465005,0.01423845,0.015317929,0.014025634,0.013513956,0.013002301,0.012825238
E01015033,0.017411693,0.018927078,0.018066653,0.01733234,0.016198068,0.016788947,0.015636728,0.016380063,0.016891451,0.015144068,0.0159563,0.015480102,0.015296238,0.01493094,0.01493094,0.01493094
E01015034,0.01880439,0.01813984,0.017957113,0.016673866,0.015631016,0.016218815,0.014104957,0.014874883,0.015752124,0.015610078,0.015846852,0.015718474,0.015456988,0.015219933,0.015219933,0.013559327
E01015035,0.017732094,0.017749394,0.016928071,0.016720206,0.016687654,0.017906623,0.016246649,0.016278519,0.018012994,0.017108327,0.017124904,0.01643172,0.016004076,0.014593513,0.015675521,0.015146316
E01015036,0.019307093,0.019472974,0.017260572,0.016998143,0.017614534,0.017017611,0.016805884,0.016018059,0.018242967,0.016882264,0.01803787,0.019297765,0.01880439,0.018324238,0.019557109,0.018954073
E01015037,0.022686855,0.023501525,0.023191824,0.024201455,0.022840843,0.024345527,0.023900358,0.023765794,0.025319176,0.024411159,0.025022629,0.023389252,0.023599981,0.023090379,0.021788959,0.021788959
E01015038,0.016326557,0.018424112,0.018615919,0.018090693,0.017591563,0.018119087,0.016434292,0.015153234,0.016910513,0.015902472,0.016506026,0.015555916,0.013998685,0.014698283,0.015117491,0.013341443
E01015039,0.014285327,0.014702773,0.014351207,0.01360276,0.012064,0.012669962,0.011267294,0.011189845,0.010922317,0.010412759,0.010908627,0.010922317,0.012064319,0.011801329,0.012050164,0.012292675
E01015040,0.027827761,0.02740981,0.028184492,0.02742998,0.026992766,0.027514111,0.027238417,0.028184492,0.029872694,0.029848547,0.028662709,0.028705413,0.028746629,0.028675511,0.028501736,0.027559249
E01015041,0.02331174,0.021696043,0.022999833,0.023087035,0.022961193,0.022807031,0.022511106,0.021788273,0.02423852,0.024176725,0.024801272,0.025675666,0.024090874,0.022782978,0.023065967,0.021252783
E01015042,0.022278205,0.02269703,0.021143235,0.021452272,0.020562861,0.020094959,0.020544664,0.021500566,0.022026952,0.023321306,0.023232063,0.022721824,0.022166668,0.023067455,0.022531187,0.022802621
E01015043,0.030024955,0.03033102,0.030090263,0.029495665,0.027926937,0.028799444,0.028542191,0.027339537,0.02839373,0.028800454,0.029049312,0.029949573,0.029826434,0.029049312,0.029269767,0.028815192
E01015044,0.024885533,0.02490686,0.023966007,0.023741867,0.023601353,0.022874184,0.023077296,0.023947643,0.024829136,0.025121973,0.025105781,0.025084092,0.024174915,0.024519048,0.023580546,0.023380204
