Label,Indicator,Year,Devon Town,Value
A&E Attendances 2011,A&E attendances,2011,Ashburton/Buckfastleigh,47986.46712
A&E Attendances 2011,A&E attendances,2011,Axminster,24017.89017
A&E Attendances 2011,A&E attendances,2011,Barnstaple,31469.52682
A&E Attendances 2011,A&E attendances,2011,Bideford/Northam,40686.09365
A&E Attendances 2011,A&E attendances,2011,Braunton,23455.17895
A&E Attendances 2011,A&E attendances,2011,Crediton,28618.85433
A&E Attendances 2011,A&E attendances,2011,Cullompton,32522.37402
A&E Attendances 2011,A&E attendances,2011,Dartmouth,43433.9447
A&E Attendances 2011,A&E attendances,2011,Dawlish,50014.16461
A&E Attendances 2011,A&E attendances,2011,Exeter,38135.75491
A&E Attendances 2011,A&E attendances,2011,Exmouth,48089.23457
A&E Attendances 2011,A&E attendances,2011,Great Torrington,25610.34627
A&E Attendances 2011,A&E attendances,2011,Holsworthy,27500.99462
A&E Attendances 2011,A&E attendances,2011,Honiton,62813.92068
A&E Attendances 2011,A&E attendances,2011,Ilfracombe,45022.03575
A&E Attendances 2011,A&E attendances,2011,Ivybridge,18152.94558
A&E Attendances 2011,A&E attendances,2011,Kingsbridge,16276.3041
A&E Attendances 2011,A&E attendances,2011,Lynton and Lynmouth,35083.14987
A&E Attendances 2011,A&E attendances,2011,Moretonhampstead,29578.66281
A&E Attendances 2011,A&E attendances,2011,Newton Abbot,44296.93375
A&E Attendances 2011,A&E attendances,2011,Okehampton,34002.2866
A&E Attendances 2011,A&E attendances,2011,Ottery St Mary,33278.85954
A&E Attendances 2011,A&E attendances,2011,Seaton,28043.76708
A&E Attendances 2011,A&E attendances,2011,Sidmouth,29228.37123
A&E Attendances 2011,A&E attendances,2011,South Molton,26628.99393
A&E Attendances 2011,A&E attendances,2011,Tavistock,15238.13145
A&E Attendances 2011,A&E attendances,2011,Teignmouth,45037.48453
A&E Attendances 2011,A&E attendances,2011,Tiverton,45779.02847
A&E Attendances 2011,A&E attendances,2011,Totnes,44575.56023
A&E Attendances 2012,A&E attendances,2012,Ashburton/Buckfastleigh,45170.33996
A&E Attendances 2012,A&E attendances,2012,Axminster,25234.96476
A&E Attendances 2012,A&E attendances,2012,Barnstaple,31393.35086
A&E Attendances 2012,A&E attendances,2012,Bideford/Northam,40901.00087
A&E Attendances 2012,A&E attendances,2012,Braunton,22754.99289
A&E Attendances 2012,A&E attendances,2012,Crediton,27740.20917
A&E Attendances 2012,A&E attendances,2012,Cullompton,31577.49852
A&E Attendances 2012,A&E attendances,2012,Dartmouth,42811.68262
A&E Attendances 2012,A&E attendances,2012,Dawlish,48188.91945
A&E Attendances 2012,A&E attendances,2012,Exeter,38044.54576
A&E Attendances 2012,A&E attendances,2012,Exmouth,47961.01035
A&E Attendances 2012,A&E attendances,2012,Great Torrington,26168.86732
A&E Attendances 2012,A&E attendances,2012,Holsworthy,28627.67247
A&E Attendances 2012,A&E attendances,2012,Honiton,60350.11903
A&E Attendances 2012,A&E attendances,2012,Ilfracombe,43878.17634
A&E Attendances 2012,A&E attendances,2012,Ivybridge,18321.73936
A&E Attendances 2012,A&E attendances,2012,Kingsbridge,16075.07609
